kpi,value
total_annual_cost_moo,73604.76842241289
total_variable_cost_moo,51833.80951329108
total_upfront_investments,107410.70760481
land_requirement_additional,1301.043698749934
land_requirement_total,1335.0436997036084
total_water_consumption,34665.97975808
total_indirect_water_consumption,103911.21527424
water_scarcity_footprint,623597.37764544
ghg_emissions_total,141326.58251688673
system_opex_total,56603.61957203108
