timeindex,ghi,t_air,e,tp,windspeed,t_dp,cum_temp,f_temp,f_heat,pv_power,rad_net,g,et_p,tp_ground,runoff,deep_drain,et_a,irrigation,swc,f_drought,delta_i50b,f_solar,biomass_gen,electricity_gen,water_harvest
2022-01-01T00:00:00Z,1e-05,16.36783,1e-05,1e-05,2.11893,2.19788,1e-10,0.5183915,1.0,5.7006e-06,6.2004e-06,6.2e-07,0.0603567762,1e-05,1e-10,1e-10,1e-10,1e-10,0.13,1e-10,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T01:00:00Z,1e-05,16.34314,1e-05,1e-05,2.42896,2.24634,1e-10,0.517157,1.0,5.7011e-06,6.2004e-06,6.2e-07,0.0638208498,1e-05,1e-10,1e-10,0.0638208498,0.0638108498,0.13,1.0,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T02:00:00Z,1e-05,15.45224,1e-05,1e-05,2.79072,2.20529,1e-10,0.472612,1.0,5.7197e-06,6.2004e-06,6.2e-07,0.0629202053,1e-05,1e-10,1e-10,0.0629202053,0.0629102053,0.13,1.0,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T03:00:00Z,1e-05,14.47086,1e-05,1e-05,2.95563,2.11841,1e-10,0.423543,1.0,5.7401e-06,6.2004e-06,6.2e-07,0.0592519712,1e-05,1e-10,1e-10,0.0592519712,0.0592419712,0.13,1.0,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T04:00:00Z,1e-05,13.55655,1e-05,1e-05,2.92501,1.89487,1e-10,0.3778275,1.0,5.7591e-06,6.2004e-06,6.2e-07,0.0549160579,1e-05,1e-10,1e-10,0.0549160579,0.0549060579,0.13,1.0,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T05:00:00Z,1e-05,12.61884,1e-05,1e-05,2.96934,1.81061,1e-10,0.330942,1.0,5.7786e-06,6.2004e-06,6.2e-07,0.0505484191,1e-05,1e-10,1e-10,0.0505484191,0.0505384191,0.13,1.0,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T06:00:00Z,1e-05,12.18857,1e-05,1e-05,3.06556,1.58621,1e-10,0.3094285,1.0,5.7876e-06,6.2004e-06,6.2e-07,0.0495531133,1e-05,1e-10,1e-10,0.0495531133,0.0495431133,0.13,1.0,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T07:00:00Z,1e-05,11.75198,1e-05,1e-05,3.09529,1.19284,1e-10,0.287599,1.0,5.7967e-06,6.2004e-06,6.2e-07,0.048721661,1e-05,1e-10,1e-10,0.048721661,0.048711661,0.13,1.0,1e-10,1e-10,1e-10,7e-10,1e-10
2022-01-01T08:00:00Z,7.09938,11.89941,1e-05,1e-05,2.98771,0.87979,1e-10,0.2949705,1.0,4.1098141565,4.4018839904,0.440188399,0.0515775567,1e-05,1e-10,1e-10,0.0515775567,0.0515675567,0.13,1.0,1e-10,1e-10,1e-10,0.0004727567,1e-10
2022-01-01T09:00:00Z,131.8208,14.63348,1e-05,1e-05,2.5346,0.75974,1e-10,0.431674,1.0,74.4913499161,81.7338794549,8.1733879455,0.0980555501,1e-05,1e-10,1e-10,0.0980555501,0.0980455501,0.13,1.0,1e-10,1e-10,1e-10,0.0085688257,1e-10
2022-01-01T10:00:00Z,318.49188,17.98889,1e-05,1e-05,1.72102,0.48337,1e-10,0.5994445,1.0,173.8873969072,197.477006112,19.7477006112,0.1877449581,1e-05,1e-10,1e-10,0.1877449581,0.1877349581,0.13,1.0,1e-10,1e-10,1e-10,0.0200024675,1e-10
