timeindex;ghi;t_air;e;tp;windspeed;ac-discharge
2022-01-01T00:00:00Z;3.47e-08;27.490845;-0.16858055;4.66e-07;8.397165;0.0033
2022-01-01T01:00:00Z;3.47e-08;27.08435;-0.16733849;4.66e-07;8.302933;0.0033
2022-01-01T02:00:00Z;3.47e-08;26.778656;-0.15133904;4.66e-07;7.7870755;0.0033
2022-01-01T03:00:00Z;3.47e-08;26.518646;-0.14444245;4.66e-07;7.5728426;0.0033
2022-01-01T04:00:00Z;3.47e-08;26.337555;-0.13056418;4.66e-07;6.9463787;0.0033
2022-01-01T05:00:00Z;3.47e-08;26.161987;-0.12775676;0.001892913;6.7692003;0.0033
2022-01-01T06:00:00Z;3.47e-08;25.958618;-0.124178015;0.005677342;6.691148;0.0033
2022-01-01T07:00:00Z;3.47e-08;25.76358;-0.1410225;0.000505243;6.814406;0.0033
2022-01-01T08:00:00Z;3.47e-08;25.711304;-0.13493694;0.003280584;7.018545;0.0033
2022-01-01T09:00:00Z;3.47e-08;25.649384;-0.13376293;0.009083655;7.1229367;0.0033
2022-01-01T10:00:00Z;3.47e-08;25.513824;-0.13789183;0.009083655;6.458723;0.0033
2022-01-01T11:00:00Z;3.47e-08;25.465271;-0.1417258;0.010976102;6.3147626;0.0033
2022-01-01T12:00:00Z;0.0343;25.537933;-0.14219086;0.01286855;6.346669;0.0033
2022-01-01T13:00:00Z;0.216;25.884003;-0.14869611;0.042389147;7.5958085;0.0033
2022-01-01T14:00:00Z;0.385;26.653503;-0.18373492;0.018166844;8.347379;0.0033
2022-01-01T15:00:00Z;0.552;27.387604;-0.20242833;0.004289672;8.659512;0.0033
2022-01-01T16:00:00Z;0.677;28.006683;-0.21296607;0.003784895;8.780091;0.0033
2022-01-01T17:00:00Z;0.688;28.489655;-0.21862628;0.000505243;8.549213;0.0033
2022-01-01T18:00:00Z;0.753;28.843231;-0.21382815;4.66e-07;8.536344;0.0033
2022-01-01T19:00:00Z;0.744;29.054901;-0.22430348;4.66e-07;8.681613;0.0033
2022-01-01T20:00:00Z;0.611;28.924194;-0.22526197;4.66e-07;8.786971;0.0033
2022-01-01T21:00:00Z;0.417;28.9198;-0.23945218;4.66e-07;8.653711;0.0033
2022-01-01T22:00:00Z;0.191;28.864227;-0.26917675;4.66e-07;8.385597;0.0033
2022-01-01T23:00:00Z;0.0222;28.309265;-0.2704245;4.66e-07;8.395418;0.0033
2022-01-02T00:00:00Z;3.47e-08;27.558563;-0.24474941;4.66e-07;8.795019;0.0033
2022-01-02T01:00:00Z;3.47e-08;26.976257;-0.20592767;4.66e-07;9.120764;0.0033
2022-01-02T02:00:00Z;3.47e-08;26.716492;-0.16839339;4.66e-07;8.650039;0.0033
2022-01-02T03:00:00Z;3.47e-08;26.637817;-0.16454808;4.66e-07;8.620359;0.0033
2022-01-02T04:00:00Z;3.47e-08;26.552124;-0.18085943;4.66e-07;8.32895;0.0033
2022-01-02T05:00:00Z;3.47e-08;26.407104;-0.19384728;4.66e-07;8.20364;0.0033
2022-01-02T06:00:00Z;3.47e-08;26.12854;-0.18725696;4.66e-07;7.9645114;0.0033
2022-01-02T07:00:00Z;3.47e-08;25.884216;-0.18992257;4.66e-07;7.8777347;0.0033
2022-01-02T08:00:00Z;3.47e-08;25.683289;-0.18199942;4.66e-07;7.830107;0.0033
2022-01-02T09:00:00Z;3.47e-08;25.544067;-0.17566998;4.66e-07;7.8365726;0.0033
2022-01-02T10:00:00Z;3.47e-08;25.518677;-0.17249958;4.66e-07;6.85528;0.0033
2022-01-02T11:00:00Z;3.47e-08;25.401703;-0.17114408;0.000505243;7.094381;0.0033
2022-01-02T12:00:00Z;0.0386;25.38855;-0.17062797;4.66e-07;7.2574472;0.0033
2022-01-02T13:00:00Z;0.229;25.746735;-0.1677922;4.66e-07;7.380252;0.0033
2022-01-02T14:00:00Z;0.444;26.623383;-0.17853412;4.66e-07;7.9238157;0.0033
2022-01-02T15:00:00Z;0.634;27.529266;-0.19555442;4.66e-07;8.23184;0.0033
2022-01-02T16:00:00Z;0.771;28.36856;-0.20737392;4.66e-07;8.424531;0.0033
2022-01-02T17:00:00Z;0.854;29.019928;-0.22944757;4.66e-07;8.525152;0.0033
2022-01-02T18:00:00Z;0.85;29.303589;-0.24402913;4.66e-07;8.607917;0.0033
2022-01-02T19:00:00Z;0.77;29.347992;-0.24443181;4.66e-07;8.790568;0.0033
2022-01-02T20:00:00Z;0.624;29.192047;-0.24475506;4.66e-07;9.08293;0.0033
2022-01-02T21:00:00Z;0.425;28.907135;-0.23952025;4.66e-07;9.184667;0.0033
2022-01-02T22:00:00Z;0.2;28.643433;-0.2214904;4.66e-07;8.4907875;0.0033
2022-01-02T23:00:00Z;0.0231;27.943024;-0.18992825;4.66e-07;8.467774;0.0033
2022-01-03T00:00:00Z;3.47e-08;27.197388;-0.17808606;4.66e-07;9.183778;0.0033
2022-01-03T01:00:00Z;3.47e-08;26.645416;-0.18076304;4.66e-07;9.402452;0.0033
2022-01-03T02:00:00Z;3.47e-08;26.397064;-0.1630678;0.000505243;8.535586;0.0033
2022-01-03T03:00:00Z;3.47e-08;26.299255;-0.15347156;0.001388136;8.178087;0.0033
2022-01-03T04:00:00Z;3.47e-08;26.127625;-0.1553772;0.00529876;8.170594;0.0033
2022-01-03T05:00:00Z;3.47e-08;25.955963;-0.15670434;0.007191207;7.792276;0.0033
2022-01-03T06:00:00Z;3.47e-08;25.745453;-0.16120186;0.013372861;7.8377943;0.0033
2022-01-03T07:00:00Z;3.47e-08;25.578308;-0.1619335;0.015265308;8.113467;0.0033
2022-01-03T08:00:00Z;3.47e-08;25.517761;-0.16403764;0.01425622;8.067502;0.0033
2022-01-03T09:00:00Z;3.47e-08;25.471619;-0.17045216;0.01425622;8.036378;0.0033
2022-01-03T10:00:00Z;3.47e-08;25.432281;-0.17533536;0.020059291;7.0839515;0.0033
2022-01-03T11:00:00Z;3.47e-08;25.402527;-0.17906724;0.02333941;7.192031;0.0033
2022-01-03T12:00:00Z;0.0344;25.438171;-0.17881769;0.027123839;7.1798334;0.0033
2022-01-03T13:00:00Z;0.193;25.724457;-0.1787156;0.020942185;7.038675;0.0033
2022-01-03T14:00:00Z;0.376;26.434448;-0.2071981;0.005677342;7.6207376;0.0033
2022-01-03T15:00:00Z;0.583;27.23822;-0.22432616;0.000505243;7.8564243;0.0033
2022-01-03T16:00:00Z;0.681;27.904938;-0.22739448;4.66e-07;7.529638;0.0033
2022-01-03T17:00:00Z;0.727;28.210388;-0.21425918;4.66e-07;7.1006536;0.0033
2022-01-03T18:00:00Z;0.732;28.4328;-0.1940628;4.66e-07;6.972802;0.0033
2022-01-03T19:00:00Z;0.778;28.531647;-0.17491567;4.66e-07;7.210801;0.0033
2022-01-03T20:00:00Z;0.629;28.44226;-0.17384942;4.66e-07;7.592453;0.0033
2022-01-03T21:00:00Z;0.431;28.2518;-0.18225464;4.66e-07;8.223165;0.0033
2022-01-03T22:00:00Z;0.205;28.194489;-0.1994678;4.66e-07;7.7709594;0.0033
2022-01-03T23:00:00Z;0.0245;27.677124;-0.20877479;4.66e-07;8.532153;0.0033
2022-01-04T00:00:00Z;3.47e-08;27.08435;-0.20678976;4.66e-07;9.176491;0.0033
2022-01-04T01:00:00Z;3.47e-08;26.536316;-0.19565651;4.66e-07;9.037222;0.0033
2022-01-04T02:00:00Z;3.47e-08;26.149292;-0.16631761;4.66e-07;8.238373;0.0033
2022-01-04T03:00:00Z;3.47e-08;25.909607;-0.1432968;4.66e-07;7.2409353;0.0033
2022-01-04T04:00:00Z;3.47e-08;25.762054;-0.13316743;4.66e-07;6.8198767;0.0033
2022-01-04T05:00:00Z;3.47e-08;25.628387;-0.12844303;0.000505243;6.576345;0.0033
2022-01-04T06:00:00Z;3.47e-08;25.451324;-0.12882869;0.002902001;6.5069084;0.0033
2022-01-04T07:00:00Z;3.47e-08;25.316132;-0.11736649;0.02245605;6.4941998;0.0033
2022-01-04T08:00:00Z;3.47e-08;25.157166;-0.112454936;0.06862962;6.5621176;0.0033
2022-01-04T09:00:00Z;3.47e-08;25.056;-0.11438893;0.11820905;6.754223;0.0033
2022-01-04T10:00:00Z;3.47e-08;24.918396;-0.12277148;0.16400358;5.9682674;0.0033
2022-01-04T11:00:00Z;3.47e-08;24.817352;-0.12362222;0.14394476;6.292016;0.0033
2022-01-04T12:00:00Z;0.035;24.77121;-0.122300744;0.115433246;6.644628;0.0033
2022-01-04T13:00:00Z;0.217;25.00064;-0.1252386;0.0744327;7.5828514;0.0033
2022-01-04T14:00:00Z;0.371;25.684998;-0.14741434;0.050588977;7.6972704;0.0033
2022-01-04T15:00:00Z;0.566;26.517975;-0.16199021;0.008578878;7.548924;0.0033
2022-01-04T16:00:00Z;0.726;27.240875;-0.16392988;4.66e-07;7.263993;0.0033
2022-01-04T17:00:00Z;0.822;27.87497;-0.16924413;4.66e-07;7.2440257;0.0033
2022-01-04T18:00:00Z;0.816;28.25354;-0.17451866;4.66e-07;7.064044;0.0033
2022-01-04T19:00:00Z;0.763;28.401764;-0.16267647;4.66e-07;7.108033;0.0033
2022-01-04T20:00:00Z;0.621;28.27533;-0.1602377;4.66e-07;7.0973024;0.0033
2022-01-04T21:00:00Z;0.431;28.06726;-0.15692553;4.66e-07;7.161726;0.0033
2022-01-04T22:00:00Z;0.203;27.782318;-0.1526662;4.66e-07;7.100414;0.0033
2022-01-04T23:00:00Z;0.0249;27.30362;-0.15201396;4.66e-07;7.6201262;0.0033
2022-01-05T00:00:00Z;3.47e-08;26.771149;-0.15304619;4.66e-07;8.2623205;0.0033
2022-01-05T01:00:00Z;3.47e-08;26.256012;-0.15414646;4.66e-07;8.596936;0.0033
2022-01-05T02:00:00Z;3.47e-08;25.874664;-0.14537826;4.66e-07;8.177541;0.0033
2022-01-05T03:00:00Z;3.47e-08;25.641998;-0.12438787;4.66e-07;7.3769336;0.0033
2022-01-05T04:00:00Z;3.47e-08;25.53357;-0.11461012;4.66e-07;6.9353843;0.0033
2022-01-05T05:00:00Z;3.47e-08;25.38324;-0.106726676;0.001009554;6.429896;0.0033
