timeindex,wind-profile-UZ,pv-profile-UZ,wind-profile-KA,pv-profile-KA
2019-01-01T00:00:00Z,0.526,0,0.939,0
2019-01-01T01:00:00Z,0.487,0,0.952,0
2019-01-01T02:00:00Z,0.452,0,0.95,0
2019-01-01T03:00:00Z,0.384,0,0.953,0
2019-01-01T04:00:00Z,0.215,0,0.966,0
2019-01-01T05:00:00Z,0.093,0,0.957,0
2019-01-01T06:00:00Z,0.063,0,0.419,0
2019-01-01T07:00:00Z,0.05,0,0.432,0
2019-01-01T08:00:00Z,0.05,0.01,0.487,0
2019-01-01T09:00:00Z,0.072,0.059,0.527,0.007
2019-01-01T10:00:00Z,0.112,0.141,0.46,0.105
2019-01-01T11:00:00Z,0.194,0.279,0.312,0.224
2019-01-01T12:00:00Z,0.296,0.394,0.216,0.304
2019-01-01T13:00:00Z,0.306,0.476,0.161,0.316
2019-01-01T14:00:00Z,0.216,0.485,0.136,0.265
2019-01-01T15:00:00Z,0.131,0.367,0.112,0.159
2019-01-01T16:00:00Z,0.077,0.146,0.105,0.043
2019-01-01T17:00:00Z,0.053,0,0.148,0
2019-01-01T18:00:00Z,0.037,0,0.175,0
2019-01-01T19:00:00Z,0.029,0,0.193,0
2019-01-01T20:00:00Z,0.031,0,0.211,0
2019-01-01T21:00:00Z,0.042,0,0.237,0
2019-01-01T22:00:00Z,0.059,0,0.278,0
2019-01-01T23:00:00Z,0.072,0,0.316,0
2019-01-02T00:00:00Z,0.078,0,0.326,0
2019-01-02T01:00:00Z,0.076,0,0.3,0
2019-01-02T02:00:00Z,0.075,0,0.251,0
2019-01-02T03:00:00Z,0.082,0,0.205,0
2019-01-02T04:00:00Z,0.08,0,0.167,0
2019-01-02T05:00:00Z,0.067,0,0.139,0
2019-01-02T06:00:00Z,0.084,0,0.119,0
2019-01-02T07:00:00Z,0.083,0,0.112,0
2019-01-02T08:00:00Z,0.082,0.118,0.114,0
2019-01-02T09:00:00Z,0.071,0.412,0.118,0.017
2019-01-02T10:00:00Z,0.053,0.647,0.119,0.161
2019-01-02T11:00:00Z,0.032,0.762,0.069,0.294
