flow,value
diesel-generator_to_ac-elec,177112.816122428
inverter_to_ac-elec,174689.341741827
run-of-river-hydropower_to_ac-elec,80424.0521460574
bottled-water_to_drinking-water,0.0
drinking-water-storage_to_drinking-water,7246.106066810963
seawater-reverse-osmosis_to_drinking-water,-3.02684399e-15
water-filtration-system_to_drinking-water,10792.909134031901
rainwater-harvesting_to_service-water,0.0
river-water-uptake_to_service-water,13383.8
service-water-storage_to_service-water,1476.4844200781001
water pump_to_service-water,26519.9796305902
