kpi,value
total_annual_cost_moo,79550.18954973947
total_variable_cost_moo,50603.66251392832
total_upfront_investments,183752.94165399997
land_requirement_additional,1596.9537791642783
land_requirement_total,1696.3337805006145
total_water_consumption,44458.31873070965
total_indirect_water_consumption,31033.54085347204
water_scarcity_footprint,339713.3681288176
ghg_emissions_total,366319.5678660873
system_opex_total,61604.24244292832
