source,ac-elec-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,battery-storage,battery-storage,bottled-water,brine-bus,dc-elec-bus,dc-elec-bus,diesel,diesel-bus,diesel-generator,drinking-water-bus,drinking-water-bus,drinking-water-bus,drinking-water-storage,drinking-water-storage,groundwater,groundwater-bus,inverter,photovoltaics,precipitation,rainwater-harvesting,river-flow,river-flow-bus,river-flow-bus,river-water-uptake,run-of-river-hydropower,seawater-bus,seawater-reverse-osmosis,seawater-reverse-osmosis,seawater-source,service-water-bus,service-water-bus,service-water-bus,service-water-bus,service-water-storage,service-water-storage,solar-resource,water pump,water-filtration-system,wind-resource,wind-turbine
target,elec-demand,electricity-excess,seawater-reverse-osmosis,water pump,water-filtration-system,nan,dc-elec-bus,drinking-water-bus,brine-excess,battery-storage,inverter,diesel-bus,diesel-generator,ac-elec-bus,drinking-water-demand,drinking-water-storage,excess-drinking-water,nan,drinking-water-bus,groundwater-bus,water pump,ac-elec-bus,dc-elec-bus,precipitation-bus,service-water-bus,river-flow-bus,excess-river-flow,run-of-river-hydropower,service-water-bus,ac-elec-bus,seawater-reverse-osmosis,brine-bus,drinking-water-bus,seawater-bus,excess-service-water,service-water-demand,service-water-storage,water-filtration-system,nan,service-water-bus,solar-bus,service-water-bus,drinking-water-bus,wind-bus,dc-elec-bus
var_name,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,7.351924283,0.0,0.0,0.026430061,5.8495524,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.8495524,0.0,24.25485,0.0,4.8495524,4.8495524,0.0,0.0,0.0,0.0,0.74911693,0.0,0.74911693,1.0,13.227907,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,5.8495524,0.0,0.0,0.0,4.8495524,5.8495524,0.0,0.0
2022-01-01 01:00:00,20.1177736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,27.530521,27.530521,9.6356822,0.0,0.0,0.0,24.25485,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.59361714,0.0,0.59361714,1.0,10.482091,-0.0,-0.0,-0.0,0.0,0.2,0.0,0.8,0.0,0.784,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,29.82278188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,58.631793,58.631793,20.521128,0.0,0.0,0.0,24.25485,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.52676715,0.0,0.52676715,1.0,9.3016544,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.784,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,37.26026222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,66.647118,66.647118,23.326491,0.0,0.0,0.0,24.25485,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.78909112,0.0,0.78909112,1.0,13.933771,-0.0,-0.0,-0.0,0.0,0.2,0.0,0.8,0.0,1.568,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,41.01162192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,86.580566,86.580566,30.303198,0.0,0.0,0.0,24.25485,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.60643468,0.0,0.60643468,1.0,10.708424,-0.0,-0.0,-0.0,0.0,0.2,0.0,0.8,0.0,2.352,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00,49.32355712,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.0,0.0,0.0,115.12723,115.12723,40.29453,4.645833333,0.0,0.0,19.718285,4.4458333,0.0,-0.0,0.0,0.0,0.0,0.0,0.52265415,0.0,0.52265415,1.0,9.229027,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.8,0.2,3.136,0.0,0.0,0.0,0.2,0.0,0.0
2022-01-01 06:00:00,58.02410175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,139.56911,139.56911,48.84919,4.745830333,0.0,0.0,15.89601,3.7458303,0.0,-0.0,0.0,0.0,0.0,0.0,0.5762211,0.0,0.5762211,1.0,10.174912,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,3.136,0.0,0.0,0.0,1.0,0.0,0.0
2022-01-01 07:00:00,56.53451197,0.0,0.0,0.024956449,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,132.01921,132.01921,46.206723,3.579185667,0.0,0.0,12.243779,3.5791857,4.579165,4.579165,0.0,0.0,0.0,0.0,0.58629208,0.0,0.58629208,1.0,10.352745,-0.0,-0.0,-0.0,0.0,0.0,6.379165,0.0,0.0,2.3196735,0.8,0.0,4.579165,0.0,0.0,0.0
2022-01-01 08:00:00,56.04273545,0.0,0.0,0.052382688,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,122.70131,122.70131,42.945458,3.862518,0.0,0.0,8.3024344,3.862518,9.6115023,9.6115023,0.0,0.0,0.0,0.0,0.74468572,0.0,0.74468572,1.0,13.14966,-0.0,-0.0,-0.0,0.0,0.0,11.41150233,0.0,0.0,1.5033469,0.8,0.0,9.6115023,0.0,0.0,0.0
2022-01-01 09:00:00,51.5977415,0.0,0.0,0.043096631,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,116.26841,116.26841,40.693943,0.0,0.0,0.0,8.3024344,0.0,7.9076387,7.9076387,0.0,0.0,0.0,0.0,0.61993969,0.0,0.61993969,1.0,10.946895,-0.0,-0.0,-0.0,0.0,0.0,9.707638667,0.0,0.0,0.68702041,0.8,0.0,7.9076387,0.0,0.0,0.0
2022-01-01 10:00:00,54.8494052,0.0,0.0,0.0,0.86805498,0.0,0.0,0.0,-0.0,0.0,0.0,122.3729,122.3729,42.830515,4.187628,0.0,0.0,4.915115,3.319573,0.0,-0.0,0.0,0.0,0.0,0.0,0.72980775,0.0,0.72980775,1.0,12.886945,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.13194502,0.86805498,0.81632653,0.0,0.0,0.0,0.86805498,0.0,0.0
2022-01-01 11:00:00,55.601065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,2.0733952,112.5041,112.5041,39.376437,4.154288667,0.0,0.0,1.6964531,3.1542887,0.0,-0.0,1.9489915,2.0733952,0.0,0.0,0.86508306,0.0,0.86508306,1.0,15.275637,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.81632653,0.0,0.0,0.0,1.0,0.0,0.0
2022-01-01 12:00:00,56.44356625,0.0,0.0,0.0,1.8,0.0,0.0,0.0,-0.0,0.0,30.064231,42.021578,42.021578,14.707552,3.462524,0.0,0.0,0.0,1.662524,0.0,-0.0,28.260377,30.064231,0.0,0.0,0.86508306,0.0,0.86508306,1.0,15.275637,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.8,0.0,0.0,1.8,0.0,0.0
2022-01-01 13:00:00,57.73774318,0.0,0.0,0.0064051734,1.3752612,0.0,0.0,0.0,-0.0,0.0,62.892989,0.0,0.0,-0.0,0.0,1.3752612,0.0,1.3477559,0.0,1.1752612,1.1752612,59.11941,62.892989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.8,1.3752612,0.784,0.0,0.0,1.1752612,1.3752612,0.0,0.0
2022-01-01 14:00:00,67.57700343,12.548922,0.0,0.070873978,4.5843317,0.0,0.0,0.0,-0.0,0.0,90.192693,0.0,0.0,-0.0,0.0,4.5843317,0.0,5.840401,0.0,13.0044,13.0044,84.781131,90.192693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,10.188388,0.0,4.5843317,0.0,0.76832,0.0,13.0044,4.5843317,0.0,0.0
2022-01-01 15:00:00,65.85533417,32.161457,0.0,0.070873978,4.396806,0.0,0.0,0.0,-0.0,0.0,109.02603,0.0,0.0,-0.0,0.0,4.396806,0.0,10.149271,0.0,13.0044,13.0044,102.48447,109.02603,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,9.607593667,0.0,4.396806,0.0,0.0,0.0,13.0044,4.396806,0.0,0.0
2022-01-01 16:00:00,52.73441377,54.908565,0.0,0.070873978,3.5410797,0.0,0.0,0.0,-0.0,0.0,118.35631,0.0,0.0,-0.0,0.050118,3.4909617,0.0,13.570413,0.0,13.0044,13.0044,111.25493,118.35631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,10.46332,0.0,3.5410797,0.0,0.0,0.0,13.0044,3.5410797,0.0,0.0
