timeindex,ghi,t-air
2019-01-01T00:00:00Z,3.47E-05,-2.620514
2019-01-01T01:00:00Z,3.47E-05,-2.9069824
2019-01-01T02:00:00Z,3.47E-05,-2.8243103
2019-01-01T03:00:00Z,3.47E-05,-2.4805603
2019-01-01T04:00:00Z,3.47E-05,-2.5131836
2019-01-01T05:00:00Z,3.47E-05,-2.8460693
2019-01-01T06:00:00Z,3.47E-05,-2.9766235
2019-01-01T07:00:00Z,3.47E-05,-3.06073
2019-01-01T08:00:00Z,17.453646,-3.268158
2019-01-01T09:00:00Z,105.80229,-3.0419006
2019-01-01T10:00:00Z,213.95938,-2.8707275
2019-01-01T11:00:00Z,279.92303,-1.8111877
2019-01-01T12:00:00Z,305.4247,-0.8763428
2019-01-01T13:00:00Z,277.91446,0.118652344
2019-01-01T14:00:00Z,208.47395,0.014221191
2019-01-01T15:00:00Z,103.83528,-1.8249512
2019-01-01T16:00:00Z,13.256493,-3.6895142
2019-01-01T17:00:00Z,3.47E-05,-3.9527588
2019-01-01T18:00:00Z,3.47E-05,-4.192108
2019-01-01T19:00:00Z,3.47E-05,-4.0325623
2019-01-01T20:00:00Z,3.47E-05,-4.160919
2019-01-01T21:00:00Z,3.47E-05,-3.999176
2019-01-01T22:00:00Z,3.47E-05,-4.778076
2019-01-01T23:00:00Z,3.47E-05,-4.9303894
