bus,direction,asset,carrier,facade_type,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,ghg_emission_factor,land_requirement_factor,water_footprint_factor,capacity_total,capacity_added,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total,ghg_emissions,land_requirement_additional,land_requirement_total,water_footprint
ac-elec-bus,in,elec-demand,electricity,load,8.55775565,23.37111012,31.97611442,41.29776132,42.56553368,51.67988168,53.80870613,55.4066785,52.96607075,52.03523858,55.4327333,59.01189372,57.86523075,54.84108155,64.11784335,63.82366777,51.02776063,52.39857472,55.37882092,66.617919,75.43884635,71.54516047,58.43358395,24.23208373,,,8.55775565,75.43884635,1223.83005104,,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,out,electricity-grid,electricity,dispatchable,8.557755,23.371109,31.976114,41.297761,42.565533,51.679881,53.808705,55.406678,52.96607,52.035238,55.432733,59.011893,57.205848,50.688698,56.716603,53.21202,38.013113,39.172463,40.903149,52.315263,63.692982,63.528752,54.7618,23.805311,,63.692982,8.557755,63.692982,1122.125472,0.2,,0.0,,0.0,1.0,,,,,,0.1,0.0,0.0,63.692982,63.692982,0.0,,,224.4250977441945,112.21254887209724,0.0,0.0,0.0
ac-elec-bus,out,inverter,electricity,conversion,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,6.670728e-07,0.6593832,4.152384,7.40124,10.611648,13.014648,13.226112,14.475672,14.302656,11.745864,8.016408,3.671784,0.4267728,,14.475672,6.670728e-07,14.475672,101.7045800048736,0.0,0.0,9.72,,0.0,1.0,,0.9,100.0,1.0,20.0,0.0,0.1,0.0,14.475672,14.475672,140.70353570542144,1447.5672,14.475672,0.0,0.0,1.447567221570432,1.447567221570432,0.0
brine-bus,in,brine-excess,water,excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
dc-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,,0.0,106.91,0.0,1.0,0.0,0.92,647.0,19.0,10.0,,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
dc-elec-bus,in,inverter,electricity,conversion,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,0.732648,4.61376,8.2236,11.79072,14.46072,14.69568,16.08408,15.89184,13.05096,8.90712,4.07976,0.474192,,,7.41192e-07,16.08408,113.00508889430401,0.0,0.0,9.72,,0.0,1.0,,0.9,100.0,1.0,20.0,0.0,0.1,0.0,,,,,,0.0,0.0,,,0.0
dc-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,,,0.0,106.91,0.0,1.0,0.0,0.92,647.0,19.0,10.0,,3.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
dc-elec-bus,out,pv-panel,electricity,volatile,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,7.41192e-07,0.732648,4.61376,8.2236,11.79072,14.46072,14.69568,16.08408,15.89184,13.05096,8.90712,4.07976,0.474192,,0.0,7.41192e-07,16.08408,113.00508889430401,0.1,,97.18,,21.36,1.0,,,1000.0,10.0,20.0,1.0,0.0,0.0,21.360000610351562,0.0,0.0,0.0,0.0,11.300509057821106,113.00508889430401,0.0,0.0,0.0
drinking-water-bus,in,drinking-water-storage,water,storage,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,,,0.0,18.72,0.0,1.0,0.0,0.98,186.0,2.5,20.0,,1.5,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,-0.0,0.0,0.0
