timeindex,ghi,t_air,t_dp,e,tp,windspeed
2022-01-01T00:00:00Z,0.0,19.793457,-1.2789612,-0.007979572,4.656613e-07,3.8686137
2022-01-01T01:00:00Z,0.0,19.008362,-1.3453369,-0.008762959,4.656613e-07,3.920265
2022-01-01T02:00:00Z,0.0,17.42929,-1.6144714,-0.009632465,4.656613e-07,3.9078174
2022-01-01T03:00:00Z,0.0,16.731537,-1.9580688,-0.010123156,4.656613e-07,3.8628097
2022-01-01T04:00:00Z,0.0,16.197144,-2.2780762,-0.010699965,4.656613e-07,3.951245
2022-01-01T05:00:00Z,0.0,15.27536,-2.979309,-0.011552213,4.656613e-07,4.198347
2022-01-01T06:00:00Z,0.0,14.888489,-4.9974365,-0.012507807,4.656613e-07,4.394345
2022-01-01T07:00:00Z,3.282014,14.490265,-5.1684875,-0.012490578,4.656613e-07,4.300739
2022-01-01T08:00:00Z,120.20316,18.264221,-3.4991455,-0.012507807,4.656613e-07,3.8441815
2022-01-01T09:00:00Z,339.39133,20.036224,-4.1701355,-0.011190656,4.656613e-07,4.0320463
2022-01-01T10:00:00Z,549.0289,24.080109,-3.7660522,-0.01021786,4.656613e-07,4.1189237
2022-01-01T11:00:00Z,711.0447,26.211334,-3.3929443,-0.009735756,4.656613e-07,4.367889
2022-01-01T12:00:00Z,806.9282,27.965576,-3.1053772,-0.009873504,4.656613e-07,4.601546
2022-01-01T13:00:00Z,827.6048,29.268768,-3.0368042,-0.010536373,4.656613e-07,5.011073
2022-01-01T14:00:00Z,772.057,29.938416,-3.3870544,-0.011182041,4.656613e-07,5.360779
2022-01-01T15:00:00Z,647.2755,30.16687,-4.2704163,-0.011457538,4.656613e-07,5.5280976
2022-01-01T16:00:00Z,457.28067,29.97345,-4.799835,-0.011027092,4.656613e-07,5.49086
2022-01-01T17:00:00Z,233.59615,28.46051,-4.4768677,-0.009770215,4.656613e-07,4.690632
2022-01-01T18:00:00Z,40.220867,26.749207,-4.2667236,-0.0062233885,4.656613e-07,4.069479
2022-01-01T19:00:00Z,0.0,25.617218,-3.9732666,-0.0070153913,4.656613e-07,4.141774
2022-01-01T20:00:00Z,0.0,23.787476,-3.9710388,-0.007049821,4.656613e-07,4.258521
2022-01-01T21:00:00Z,0.0,22.882477,-3.5913086,-0.007738534,4.656613e-07,4.2214203
2022-01-01T22:00:00Z,0.0,21.6745,-3.0633545,-0.008074276,4.656613e-07,4.2505107
2022-01-01T23:00:00Z,0.0,20.946167,-2.8060303,-0.008229224,4.656613e-07,4.157098
2022-01-02T00:00:00Z,0.0,20.2948,-2.6062012,-0.00862524,4.656613e-07,3.9922445
2022-01-02T01:00:00Z,0.0,19.614807,-2.535431,-0.008995412,4.656613e-07,3.9245758
2022-01-02T02:00:00Z,0.0,18.32196,-3.0736694,-0.009460287,4.656613e-07,3.9413188
2022-01-02T03:00:00Z,0.0,17.645416,-3.1245728,-0.01023509,4.656613e-07,4.116704
2022-01-02T04:00:00Z,0.0,17.294586,-3.1061401,-0.011319789,4.656613e-07,4.3302426
2022-01-02T05:00:00Z,0.0,15.774231,-2.9520264,-0.012085977,4.656613e-07,4.273914
2022-01-02T06:00:00Z,0.0,15.288696,-2.4498901,-0.012017088,4.656613e-07,4.053121
2022-01-02T07:00:00Z,3.167118,14.977814,-1.7280273,-0.011078752,4.656613e-07,3.9285853
2022-01-02T08:00:00Z,119.678024,18.556335,-1.055542,-0.011027092,4.656613e-07,3.7000036
2022-01-02T09:00:00Z,339.63745,20.590881,-1.0105591,-0.010123156,4.656613e-07,4.6274962
2022-01-02T10:00:00Z,548.8648,24.245392,0.0018005371,-0.011328404,4.656613e-07,5.532064
2022-01-02T11:00:00Z,711.35645,26.038635,0.340271,-0.012206496,4.656613e-07,5.7437854
2022-01-02T12:00:00Z,807.4205,27.396606,0.24588013,-0.012197881,4.656613e-07,5.783024
2022-01-02T13:00:00Z,827.52277,28.34256,-0.34768677,-0.01228397,4.656613e-07,5.803564
2022-01-02T14:00:00Z,770.4488,29.38327,-0.88449097,-0.011758821,4.656613e-07,5.577387
2022-01-02T15:00:00Z,646.455,29.599396,-1.1809082,-0.01077744,4.656613e-07,5.3028173
2022-01-02T16:00:00Z,450.12592,29.37439,-1.14328,-0.0094861025,4.656613e-07,5.08129
2022-01-02T17:00:00Z,231.75822,27.826416,-0.81295776,-0.008168951,4.656613e-07,4.4344525
2022-01-02T18:00:00Z,41.35316,26.264618,-0.097717285,-0.0052505927,4.656613e-07,3.7919285
2022-01-02T19:00:00Z,0.0,25.299438,0.32107544,-0.0057154684,4.656613e-07,3.9948425
2022-01-02T20:00:00Z,0.0,23.13562,2.4623718,-0.0061631147,4.656613e-07,4.261743
2022-01-02T21:00:00Z,0.0,22.272552,2.4269714,-0.007359748,4.656613e-07,4.43033
