timeindex,ghi-profile,elec-profile,water-profile
2022-01-05T22:00:00Z,0.0,1,1
2022-01-05T23:00:00Z,0.0,1,1
2022-01-06T00:00:00Z,0.0,1,1
2022-01-06T01:00:00Z,0.0,1,1
2022-01-06T02:00:00Z,0.0,1,1
2022-01-06T03:00:00Z,0.0,1,1
2022-01-06T04:00:00Z,0.0,1,1
2022-01-06T05:00:00Z,0.0,1,1
2022-01-06T06:00:00Z,0.0,1,1
2022-01-06T07:00:00Z,2.6092014,1,1
2022-01-06T08:00:00Z,115.11604,1,1
2022-01-06T09:00:00Z,334.255,1,1
2022-01-06T10:00:00Z,546.18994,1,1
2022-01-06T11:00:00Z,711.816,1,1
2022-01-06T12:00:00Z,811.5886,1,1
2022-01-06T13:00:00Z,835.6129,1,1
2022-01-06T14:00:00Z,781.23016,1,1
2022-01-06T15:00:00Z,653.8723,1,1
2022-01-06T16:00:00Z,466.27335,1,1
2022-01-06T17:00:00Z,243.70468,1,1
2022-01-06T18:00:00Z,46.899757,1,1
2022-01-06T19:00:00Z,0.0,1,1
2022-01-06T20:00:00Z,0.0,1,1
2022-01-06T21:00:00Z,0.0,1,1
2022-01-06T22:00:00Z,0.0,1,1
2022-01-06T23:00:00Z,0.0,1,1
2022-01-07T00:00:00Z,0.0,1,1
2022-01-07T01:00:00Z,0.0,1,1
2022-01-07T02:00:00Z,0.0,1,1
2022-01-07T03:00:00Z,0.0,1,1
2022-01-07T04:00:00Z,0.0,1,1
2022-01-07T05:00:00Z,0.0,1,1
2022-01-07T06:00:00Z,0.0,1,1
2022-01-07T07:00:00Z,2.4943402,1,1
2022-01-07T08:00:00Z,115.034,1,1
2022-01-07T09:00:00Z,335.12473,1,1
2022-01-07T10:00:00Z,547.84735,1,1
2022-01-07T11:00:00Z,713.457,1,1
2022-01-07T12:00:00Z,812.8358,1,1
2022-01-07T13:00:00Z,836.23645,1,1
2022-01-07T14:00:00Z,781.85376,1,1
2022-01-07T15:00:00Z,653.9215,1,1
2022-01-07T16:00:00Z,467.061,1,1
2022-01-07T17:00:00Z,245.26364,1,1
2022-01-07T18:00:00Z,47.539722,1,1
2022-01-07T19:00:00Z,0.0,1,1
2022-01-07T20:00:00Z,0.0,1,1
2022-01-07T21:00:00Z,0.0,1,1
2022-01-07T22:00:00Z,0.0,1,1
2022-01-07T23:00:00Z,0.0,1,1
2022-01-08T00:00:00Z,0.0,1,1
2022-01-08T01:00:00Z,0.0,1,1
2022-01-08T02:00:00Z,0.0,1,1
2022-01-08T03:00:00Z,0.0,1,1
2022-01-08T04:00:00Z,0.0,1,1
2022-01-08T05:00:00Z,0.0,1,1
2022-01-08T06:00:00Z,0.0,1,1
2022-01-08T07:00:00Z,2.3630555,1,1
2022-01-08T08:00:00Z,113.425835,1,1
2022-01-08T09:00:00Z,333.91037,1,1
2022-01-08T10:00:00Z,546.7807,1,1
2022-01-08T11:00:00Z,713.06305,1,1
2022-01-08T12:00:00Z,811.8348,1,1
2022-01-08T13:00:00Z,836.9421,1,1
2022-01-08T14:00:00Z,783.4127,1,1
2022-01-08T15:00:00Z,656.08765,1,1
2022-01-08T16:00:00Z,468.94815,1,1
2022-01-08T17:00:00Z,246.47798,1,1
2022-01-08T18:00:00Z,48.491528,1,1
2022-01-08T19:00:00Z,0.0,1,1
2022-01-08T20:00:00Z,0.0,1,1
2022-01-08T21:00:00Z,0.0,1,1
2022-01-08T22:00:00Z,0.0,1,1
2022-01-08T23:00:00Z,0.0,1,1
2022-01-09T00:00:00Z,0.0,1,1
2022-01-09T01:00:00Z,0.0,1,1
2022-01-09T02:00:00Z,0.0,1,1
2022-01-09T03:00:00Z,0.0,1,1
2022-01-09T04:00:00Z,0.0,1,1
2022-01-09T05:00:00Z,0.0,1,1
2022-01-09T06:00:00Z,0.0,1,1
2022-01-09T07:00:00Z,2.2481596,1,1
2022-01-09T08:00:00Z,110.88229,1,1
2022-01-09T09:00:00Z,313.7097,1,1
2022-01-09T10:00:00Z,493.39902,1,1
2022-01-09T11:00:00Z,680.5057,1,1
2022-01-09T12:00:00Z,802.8585,1,1
2022-01-09T13:00:00Z,819.5311,1,1
2022-01-09T14:00:00Z,737.5468,1,1
2022-01-09T15:00:00Z,599.3091,1,1
2022-01-09T16:00:00Z,402.34003,1,1
2022-01-09T17:00:00Z,197.72392,1,1
2022-01-09T18:00:00Z,38.760384,1,1
2022-01-09T19:00:00Z,0.0,1,1
2022-01-09T20:00:00Z,0.0,1,1
2022-01-09T21:00:00Z,0.0,1,1
2022-01-09T22:00:00Z,0.0,1,1
2022-01-09T23:00:00Z,0.0,1,1
2022-01-10T00:00:00Z,0.0,1,1
2022-01-10T01:00:00Z,0.0,1,1
2022-01-10T02:00:00Z,0.0,1,1
2022-01-10T03:00:00Z,0.0,1,1
2022-01-10T04:00:00Z,0.0,1,1
2022-01-10T05:00:00Z,0.0,1,1
2022-01-10T06:00:00Z,0.0,1,1
2022-01-10T07:00:00Z,2.166111,1,1
2022-01-10T08:00:00Z,100.88861,1,1
2022-01-10T09:00:00Z,299.94174,1,1
