Component,Upfront Investment Cost,Annuity (CAPEX + Fixed O&M),Variable Costs (In),Variable Costs (Out)
back-up-elec,,0.0,,0.0
solar-radiation,,0.0,,
apv-system,,0.0,,
biomass-eccess,,,,
demand,,,,
electricity-excess,,,,
