name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;profile;output_parameters;expandable
wind-KA;volatile;wind;onshore;1068;161151;re-elec-bus-KA;0;wind-profile-KA;"{""custom_attributes"": {""renewable_factor"": 1}}";True
wind-UZ;volatile;wind;onshore;3000;161151;re-elec-bus-UZ;0;wind-profile-UZB;"{""custom_attributes"": {""renewable_factor"": 1}}";True
pv-KA;volatile;solar;pv;1246;99405;re-elec-bus-KA;0;pv-profile-KA;"{""custom_attributes"": {""renewable_factor"": 1}}";True
pv-UZ;volatile;solar;pv;5000;99405;re-elec-bus-UZ;0;pv-profile-UZB;"{""custom_attributes"": {""renewable_factor"": 1}}";True
hydro-KA;volatile;hydro;hydro;2840;218011;re-elec-bus-KA;0;1;"{""custom_attributes"": {""renewable_factor"": 1}}";False
hydro-UZ;volatile;hydro;hydro;3800;218011;re-elec-bus-UZ;0;1;"{""custom_attributes"": {""renewable_factor"": 1}}";False
