timeindex;time;pev;vwc_rzd;ghi;t_air;e;tp;windspeed;ac-discharge;river-flow
2022-01-01T00:00:00Z;2022-01-01T00:00:00Z;-0.00000276;0.20640403;0.0000997222;26.494812;-0.03578198;0.000755194;0.97473514;0.0033;360
2022-01-01T01:00:00Z;2022-01-01T01:00:00Z;-0.000000788;0.20657344;0.0000000347;26.293396;-0.023573332;0.000143396;0.45877343;0.0033;360
2022-01-01T02:00:00Z;2022-01-01T02:00:00Z;-0.000000203;0.20660242;0.0000000347;26.173248;-0.020033257;0.0000410201;0.90518606;0.0033;360
2022-01-01T03:00:00Z;2022-01-01T03:00:00Z;-0.000000101;0.20682344;0.0000000347;26.003113;-0.020260952;0.000442809;0.6529405;0.0033;360
2022-01-01T04:00:00Z;2022-01-01T04:00:00Z;-0.00000169;0.20712516;0.0000000347;26.241852;-0.02026638;0.000163029;0.70657927;0.0033;360
2022-01-01T05:00:00Z;2022-01-01T05:00:00Z;-0.00000218;0.20717762;0.0000000347;25.929596;-0.025085872;0.0000347095;0.95286155;0.0033;360
2022-01-01T06:00:00Z;2022-01-01T06:00:00Z;-0.00000249;0.20716684;0.0000000347;25.636383;-0.032502126;0.00011675;1.1197346;0.0033;360
2022-01-01T07:00:00Z;2022-01-01T07:00:00Z;-0.0000026;0.2071602;0.0000000347;25.871002;-0.042558547;0.000132176;1.5757734;0.0033;360
2022-01-01T08:00:00Z;2022-01-01T08:00:00Z;-0.00000247;0.2071993;0.0000000347;25.238678;-0.05086389;0.000374792;1.6158085;0.0033;360
2022-01-01T09:00:00Z;2022-01-01T09:00:00Z;-0.00000118;0.20727712;0.0000000347;25.01065;-0.05037598;0.000183715;1.3233926;0.0033;360
2022-01-01T10:00:00Z;2022-01-01T10:00:00Z;-0.00000165;0.20812492;0.0000000347;24.808716;-0.049915165;0.000352003;1.574277;0.0033;360
2022-01-01T11:00:00Z;2022-01-01T11:00:00Z;-0.00000236;0.20822275;0.0000000347;24.838318;-0.053097434;0.000567974;1.2210199;0.0033;360
2022-01-01T12:00:00Z;2022-01-01T12:00:00Z;-0.00000473;0.20827015;0.011054063;24.661072;-0.05838857;0.000885968;1.6579899;0.0033;360
2022-01-01T13:00:00Z;2022-01-01T13:00:00Z;-0.0000215;0.20827085;0.07777719;24.801971;-0.07592089;0.000610746;1.8656665;0.0033;360
2022-01-01T14:00:00Z;2022-01-01T14:00:00Z;-0.0000482;0.20824435;0.18424356;25.760956;-0.10511971;0.00036147;2.3761458;0.0033;360
2022-01-01T15:00:00Z;2022-01-01T15:00:00Z;-0.0000568;0.20822175;0.21367352;25.662994;-0.113885865;0.000200894;2.3962855;0.0033;360
2022-01-01T16:00:00Z;2022-01-01T16:00:00Z;-0.0000668;0.20818615;0.22623753;25.967712;-0.11768615;0.0000967654;2.0288205;0.0033;360
2022-01-01T17:00:00Z;2022-01-01T17:00:00Z;-0.000100116;0.20814523;0.33731927;26.778687;-0.13449201;0.000103427;1.597217;0.0033;360
2022-01-01T18:00:00Z;2022-01-01T18:00:00Z;-0.000177224;0.2081343;0.5278591;27.14978;-0.19120908;0.000146551;1.1467382;0.0033;360
2022-01-01T19:00:00Z;2022-01-01T19:00:00Z;-0.000162986;0.20812204;0.45368588;27.44159;-0.16654783;0.00011675;0.62052536;0.0033;360
2022-01-01T20:00:00Z;2022-01-01T20:00:00Z;-0.000160964;0.20828968;0.4626459;27.59607;-0.16127297;0.000146901;0.87188053;0.0033;360
2022-01-01T21:00:00Z;2022-01-01T21:00:00Z;-0.0000743;0.20862435;0.19576768;27.533112;-0.10141157;0.000489789;0.95122296;0.0033;360
2022-01-01T22:00:00Z;2022-01-01T22:00:00Z;-0.0000419;0.20855394;0.13213573;27.020416;-0.07465774;0.000801123;0.61931425;0.0033;360
2022-01-01T23:00:00Z;2022-01-01T23:00:00Z;-0.000015;0.20911305;0.041766075;26.828766;-0.048906818;0.000559909;0.22565061;0.0033;360
