bus,direction,asset,carrier,facade_type,2019-01-01 00:00:00,2019-01-01 01:00:00,2019-01-01 02:00:00,2019-01-01 03:00:00,2019-01-01 04:00:00,2019-01-01 05:00:00,2019-01-01 06:00:00,2019-01-01 07:00:00,2019-01-01 08:00:00,2019-01-01 09:00:00,2019-01-01 10:00:00,2019-01-01 11:00:00,2019-01-01 12:00:00,2019-01-01 13:00:00,2019-01-01 14:00:00,2019-01-01 15:00:00,2019-01-01 16:00:00,2019-01-01 17:00:00,2019-01-01 18:00:00,2019-01-01 19:00:00,2019-01-01 20:00:00,2019-01-01 21:00:00,2019-01-01 22:00:00,2019-01-01 23:00:00,2019-01-02 00:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,capacity,expandable,capacity_total,capacity_added,annuity_total,variable_costs_total
elec-bus,in,demand,electricity,load,0.000101296,9.94e-05,9.94e-05,9.75e-05,0.000103208,0.000114675,0.000131876,0.000131876,0.00012232,0.000116586,0.000114675,0.000114675,0.000114675,0.000114675,0.000114675,0.000116586,0.000128054,0.000139521,0.000141433,0.000139521,0.000141433,0.000139521,0.000128054,0.000114675,,,9.75e-05,0.000141433,0.0028803099999999996,,,,,,,,,
elec-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,
elec-bus,out,back-up-elec,electricity,dispatchable,0.000101296,9.94e-05,9.94e-05,9.75e-05,0.000103208,0.000114675,0.000131876,0.000131876,0.00012232,0.000116586,0.000114675,0.000114675,0.000114675,0.000114675,0.000114675,0.000116586,0.000128054,0.000139521,0.000141433,0.000139521,0.000141433,0.000139521,0.000128054,0.000114675,,0.000141433,9.75e-05,0.000141433,0.0028803099999999996,0.5,0.0,0.0,0.0,1.0,0.000141433,0.000141433,0.0,0.0014401549999999998
elec-bus,out,pv-panel,electricity,pv-panel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
solar-energy-bus,in,pv-panel,solar-energy,pv-panel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
solar-energy-bus,out,solar-radiation,solar-energy,dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
