bus,direction,asset,carrier,facade_type,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,investments,flow_min,flow_max,aggregated_flow,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,ghg_emission_factor,land_requirement_factor,water_consumption_factor,indirect_water_consumption_factor,annuity,resource_cost,capacity_total,capacity_added,annuity_total,annualized_capex,upfront_investment_costs,opex_fix_costs_total,variable_cost_moo,ghg_emissions,land_requirement_additional,land_requirement_total,water_consumption,indirect_water_consumption
ac-elec-bus,in,elec-demand,electricity,load,7.351924283,20.1177736,29.82278188,37.26026222,41.01162192,49.32355712,58.02410175,56.53451197,56.04273545,51.5977415,54.8494052,55.601065,56.44356625,57.73774318,67.57700343,65.85533417,52.73441377,46.70275222,50.1365011,59.25192822,68.68483188,70.90248485,60.83392722,23.80252083,,,7.351924283,70.90248485,1198.2004890130002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac-elec-bus,in,seawater-reverse-osmosis,electricity,ro,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,11.343482,3.3254814,5.0471507,11.343482,11.343482,11.343482,11.343482,2.217653,0.0,10.068558,11.343482,,,0.0,11.343482,236.1850011,0.0,2398.5454,,0.0,1.0,,,559.6,198.93,12.5,0.0,0.15,1.0,,263.84,0.0,,,,,,,0.0,0.0,,,236.1850011,
ac-elec-bus,in,water pump,electricity,water-pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,136.36363,,0.0,0.0,,0.9,0.0,15.0,20.0,0.2,2.0,0.0,,15.0,0.0,,,,,,,0.0,0.0,,,0.0,
ac-elec-bus,in,water-filtration-system,electricity,water-filtration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,261.0909,,0.0,1.0,,,100.0,20.0,20.0,0.045,0.1,0.0,,28.72,0.0,,,,,,,0.0,0.0,,,0.0,
ac-elec-bus,out,diesel-generator,electricity,conversion,1.0374062,13.803255,23.508264,30.945744,34.697104,43.009039,51.709584,50.219994,49.728217,45.283223,48.534887,49.286547,50.129048,51.423225,53.244485,53.244485,46.419896,40.388234,43.821983,52.93741,53.244485,53.244485,53.244485,17.488003,,53.244485,1.0374062,53.244485,1010.5934881999999,0.0,1510.1818,,0.0,1.0,,0.35,817.0,82.0,15.0,0.7,0.3,0.0,,166.12,,53.244485,53.244485,80408.85021110412,8844.973588217163,43500.744244999994,4366.04777,,707.4154296927868,15.973346134723721,15.973346134723721,0.0,
ac-elec-bus,out,inverter,electricity,conversion,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.0,505.45456,,0.0,1.0,,0.94,350.0,15.0,12.5,0.0,0.15,0.0,,55.6,,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,0.0,-0.0,0.0,0.0,
ac-elec-bus,out,run-of-river-hydropower,electricity,hydropower,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,17.658,,17.658,17.658,17.658,423.79200000000003,0.0,5360.1816,,0.0,1.0,,0.9,3306.0,331.0,25.0,0.0,0.4,0.5,,589.62,0.0,17.658,17.658,94650.08741015625,10411.509873779298,58377.348000000005,5844.798000000001,0.0,0.0,7.063200105249882,7.063200105249882,211.89600000000002,
brine-bus,in,brine-excess,water,excess,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,0.41568518,0.63089383,1.4179352,1.4179352,1.4179352,1.4179352,0.27720662,-0.0,1.2585697,1.4179352,,,-0.0,1.4179352,29.52312413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brine-bus,out,seawater-reverse-osmosis,water,ro,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,1.4179352,0.41568518,0.63089383,1.4179352,1.4179352,1.4179352,1.4179352,0.27720662,-0.0,1.2585697,1.4179352,,,-0.0,1.4179352,29.52312413,0.0,2398.5454,,0.0,1.0,,,559.6,198.93,12.5,0.0,0.15,1.0,,263.84,0.0,,,,,,,0.0,0.0,,,29.52312413,
