,Component name,Capacity,Optimized Capacity,Capacity Total,Maximum Capacity,unit
5,diesel-generator,0.0,53.244485,53.244485,,[kW]
7,run-of-river-hydropower,0.0,17.658,17.658,,[kW]
17,drinking-water-storage,0.0,17.704568,17.704568,,[m³]
25,seawater-reverse-osmosis,0.0,2.8358705,2.8358705,,[m³/h]
27,service-water-storage,0.0,19.050424,19.050424,,[m³]
29,rainwater-harvesting,0.0,3774.7581,3774.7581,,[m³/h]
