Component,Upfront Investment Cost,Annuity (CAPEX + Fixed O&M),Variable Costs (In),Variable Costs (Out)
coal-pp-KA,,,,0.0
coal-pp-UZ,,,,0.0
oil-pp-KA,,,,0.0
oil-pp-UZ,,,,0.0
coal-KA,,0.0,,0.0
coal-UZ,,0.0,,0.0
oil-KA,,0.0,,0.0
oil-UZ,,0.0,,0.0
h2-ely-KA,,0.0,,
h2-ely-UZ,,0.0,,
re-conv-KA,,0.0,,
re-conv-UZ,,0.0,,
gas-pp-KA,,,,7238363.8462499995
gas-pp-UZ,,,,360371.35612500005
gas-KA,,0.0,,235246825.29872325
gas-UZ,,0.0,,11712069.021725278
h2-fuel-cell-KA,,0.0,,
h2-fuel-cell-UZ,,0.0,,
hydro-KA,,,,
hydro-UZ,,,,
pv-KA,,0.0,,
pv-UZ,,1301481533.385,,
wind-KA,,0.0,,
wind-UZ,,0.0,,
demand-KA,,,,
electricity-excess-KA,,,,
demand-UZ,,,,
electricity-excess-UZ,,,,
elec-conn-UZ-KA,,,,
