From,To,Aggregated Flow
battery-storage-KA,re-elec-bus-KA,96259.8415713
battery-storage-UZ,re-elec-bus-UZ,192624.338576
coal-KA,coal-bus-KA,0.0
coal-UZ,coal-bus-UZ,0.0
coal-bus-KA,coal-pp-KA,0.0
coal-bus-UZ,coal-pp-UZ,0.0
coal-pp-KA,elec-bus-KA,0.0
coal-pp-UZ,elec-bus-UZ,0.0
elec-bus-KA,demand-KA,107147309.39921
elec-bus-KA,elec-conn-UZ-KA,0.0
elec-bus-KA,electricity-excess-KA,0.0
elec-bus-UZ,demand-UZ,106899943.23609999
elec-bus-UZ,elec-conn-UZ-KA,71025947.451
elec-bus-UZ,electricity-excess-UZ,0.0
elec-conn-UZ-KA,elec-bus-KA,71025947.451
elec-conn-UZ-KA,elec-bus-UZ,0.0
gas-KA,gas-bus-KA,10053283.132424071
gas-UZ,gas-bus-UZ,500515.77015919995
gas-bus-KA,gas-pp-KA,10053283.132424071
gas-bus-UZ,gas-pp-UZ,500515.77015919995
gas-pp-KA,elec-bus-KA,4825575.8975
gas-pp-UZ,elec-bus-UZ,240247.57075
h2-bus-KA,h2-fuel-cell-KA,0.0
h2-bus-KA,h2-storage-KA,0.0
h2-bus-UZ,h2-fuel-cell-UZ,0.0
h2-bus-UZ,h2-storage-UZ,0.0
h2-ely-KA,h2-bus-KA,0.0
h2-ely-UZ,h2-bus-UZ,0.0
h2-fuel-cell-KA,elec-bus-KA,0.0
h2-fuel-cell-UZ,elec-bus-UZ,0.0
h2-storage-KA,h2-bus-KA,0.0
h2-storage-UZ,h2-bus-UZ,0.0
hydro-KA,re-elec-bus-KA,24878400.0
hydro-UZ,re-elec-bus-UZ,33288000.0
oil-KA,oil-bus-KA,0.0
oil-UZ,oil-bus-UZ,0.0
oil-bus-KA,oil-pp-KA,0.0
oil-bus-UZ,oil-pp-UZ,0.0
oil-pp-KA,elec-bus-KA,0.0
oil-pp-UZ,elec-bus-UZ,0.0
pv-KA,re-elec-bus-KA,1908028.458
pv-UZ,re-elec-bus-UZ,126348288.338
re-conv-KA,elec-bus-KA,31295785.999
re-conv-UZ,elec-bus-UZ,177685643.05800003
re-elec-bus-KA,battery-storage-KA,127176.432287769
re-elec-bus-KA,h2-ely-KA,0.0
re-elec-bus-KA,re-conv-KA,31295785.999
re-elec-bus-UZ,battery-storage-UZ,254491.13297090004
re-elec-bus-UZ,h2-ely-UZ,0.0
re-elec-bus-UZ,re-conv-UZ,177685643.05800003
wind-KA,re-elec-bus-KA,4540274.124
wind-UZ,re-elec-bus-UZ,18111221.456928
