source,battery-storage-KA,battery-storage-KA,battery-storage-UZ,battery-storage-UZ,coal-KA,coal-UZ,coal-bus-KA,coal-bus-UZ,coal-pp-KA,coal-pp-UZ,elec-bus-KA,elec-bus-KA,elec-bus-KA,elec-bus-UZ,elec-bus-UZ,elec-bus-UZ,elec-conn-UZ-KA,elec-conn-UZ-KA,gas-KA,gas-UZ,gas-bus-KA,gas-bus-UZ,gas-pp-KA,gas-pp-UZ,h2-bus-KA,h2-bus-KA,h2-bus-UZ,h2-bus-UZ,h2-ely-KA,h2-ely-UZ,h2-fuel-cell-KA,h2-fuel-cell-UZ,h2-storage-KA,h2-storage-KA,h2-storage-UZ,h2-storage-UZ,hydro-KA,hydro-UZ,oil-KA,oil-UZ,oil-bus-KA,oil-bus-UZ,oil-pp-KA,oil-pp-UZ,pv-KA,pv-UZ,re-conv-KA,re-conv-UZ,re-elec-bus-KA,re-elec-bus-KA,re-elec-bus-KA,re-elec-bus-UZ,re-elec-bus-UZ,re-elec-bus-UZ,wind-KA,wind-UZ
target,nan,re-elec-bus-KA,nan,re-elec-bus-UZ,coal-bus-KA,coal-bus-UZ,coal-pp-KA,coal-pp-UZ,elec-bus-KA,elec-bus-UZ,demand-KA,elec-conn-UZ-KA,electricity-excess-KA,demand-UZ,elec-conn-UZ-KA,electricity-excess-UZ,elec-bus-KA,elec-bus-UZ,gas-bus-KA,gas-bus-UZ,gas-pp-KA,gas-pp-UZ,elec-bus-KA,elec-bus-UZ,h2-fuel-cell-KA,h2-storage-KA,h2-fuel-cell-UZ,h2-storage-UZ,h2-bus-KA,h2-bus-UZ,elec-bus-KA,elec-bus-UZ,nan,h2-bus-KA,nan,h2-bus-UZ,re-elec-bus-KA,re-elec-bus-UZ,oil-bus-KA,oil-bus-UZ,oil-pp-KA,oil-pp-UZ,elec-bus-KA,elec-bus-UZ,re-elec-bus-KA,re-elec-bus-UZ,elec-bus-KA,elec-bus-UZ,battery-storage-KA,h2-ely-KA,re-conv-KA,battery-storage-UZ,h2-ely-UZ,re-conv-UZ,re-elec-bus-KA,re-elec-bus-UZ
var_name,storage_content,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
2019-01-01 00:00:00,152.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11786.5,-0.0,0.0,8370.27,7993.648,0.0,7993.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12663.918,3792.852,16363.918,50.0,0.0,3792.852,100.0,0.0,16363.918,1002.852,0.0
2019-01-01 01:00:00,195.5,0.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11465.05,-0.0,0.0,6029.16,7658.314,0.0,7658.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9987.474,3806.736,13687.474,50.0,0.0,3806.736,100.0,0.0,13687.474,1016.736,0.0
2019-01-01 02:00:00,239.0,0.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11465.05,-0.0,0.0,4831.88,7660.45,0.0,7660.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5792.33,3804.6,12492.33,50.0,0.0,3804.6,100.0,0.0,12492.33,1014.6,3000.0
2019-01-01 03:00:00,282.5,0.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11465.05,-0.0,0.0,4404.28,7657.246,0.0,7657.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8361.526,3807.804,12061.526,50.0,0.0,3807.804,100.0,0.0,12061.526,1017.804,0.0
2019-01-01 04:00:00,326.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.8,-0.0,0.0,4147.72,8179.112,0.0,8179.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8626.832,3821.688,12326.832,50.0,0.0,3821.688,100.0,0.0,12326.832,1031.688,0.0
2019-01-01 05:00:00,369.5,0.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12643.699999999999,-0.0,0.0,4137.03,8831.624,0.0,8831.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6268.654,3812.076,12968.654,50.0,0.0,3812.076,100.0,0.0,12968.654,1022.076,3000.0
2019-01-01 06:00:00,413.0,0.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13286.6,-0.0,0.0,4382.9,10049.108,0.0,10049.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10732.008,3237.492,14432.008,50.0,0.0,3237.492,100.0,0.0,14432.008,447.492,0.0
2019-01-01 07:00:00,456.5,0.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14143.800000000001,-0.0,0.0,5355.69,10892.424,0.0,10892.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9548.114,3251.376,16248.114,50.0,0.0,3251.376,100.0,0.0,16248.114,461.376,3000.0
2019-01-01 08:00:00,500.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14786.699999999999,-0.0,0.0,9482.03,11476.584,0.0,11476.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17258.614,3310.116,20958.614,50.0,0.0,3310.116,100.0,0.0,20958.614,520.116,0.0
2019-01-01 09:00:00,442.52874,50.0,885.05747,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14375.136849999999,-0.0,0.0,14832.375000000002,10160.342,0.0,10160.342,0.0,1569.2433,0.0,1569.2433,0.0,753.2368,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,8.722,18092.717,3461.558,24992.717,0.0,0.0,3461.558,0.0,0.0,24992.717,562.836,3000.0
2019-01-01 10:00:00,385.05747,50.0,770.11494,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14464.1785,-0.0,0.0,18652.3396,6340.3774,0.0,6340.3774,0.0,9607.6897,0.0,9607.6897,0.0,4611.6911,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,130.83,18092.717,3512.11,24992.717,0.0,0.0,3512.11,0.0,0.0,24992.717,491.28,3000.0
2019-01-01 11:00:00,327.58621,50.0,655.17241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,13874.74635,-0.0,0.0,21716.307399999998,10372.426,0.0,10372.426,0.0,0.0,14783.368,0.0,14783.368,0.0,7096.0167,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,279.104,18092.717,3502.32,24992.717,0.0,0.0,3502.32,0.0,0.0,24992.717,333.216,3000.0
2019-01-01 12:00:00,270.11494,50.0,540.22989,100.0,0.0,0.0,0.0,0.0,0.0,0.0,13867.353,-0.0,0.0,22136.1037,2856.6133,0.0,2856.6133,0.0,15648.474,0.0,15648.474,0.0,7511.2676,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,378.784,18092.717,3499.472,24992.717,0.0,0.0,3499.472,0.0,0.0,24992.717,230.688,3000.0
2019-01-01 13:00:00,212.64368,50.0,425.28736,100.0,0.0,0.0,0.0,0.0,0.0,0.0,13793.205199999999,-0.0,0.0,18529.1908,6463.5262,0.0,6463.5262,0.0,8070.8228,0.0,8070.8228,0.0,3873.9949,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,393.736,18092.717,3455.684,24992.717,0.0,0.0,3455.684,0.0,0.0,24992.717,171.948,3000.0
2019-01-01 14:00:00,155.17241,50.0,310.34483,100.0,0.0,0.0,0.0,0.0,0.0,0.0,13807.991899999999,-0.0,0.0,14577.525399999999,10415.192,0.0,10415.192,0.0,57.004687,0.0,57.004687,0.0,27.36225,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,330.19,18092.717,3365.438,24992.717,0.0,0.0,3365.438,0.0,0.0,24992.717,145.248,3000.0
2019-01-01 15:00:00,198.67241,0.0,397.34483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14338.06295,-0.0,0.0,12486.989,11230.333,0.0,11230.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,198.114,17017.322,3107.73,23717.322,50.0,0.0,3107.73,100.0,0.0,23717.322,119.616,3000.0
2019-01-01 16:00:00,242.17241,0.0,484.34483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14934.88845,-0.0,0.0,11426.7548,11979.17,0.0,11979.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,53.578,16705.925,2955.718,23405.925,50.0,0.0,2955.718,100.0,0.0,23405.925,112.14,3000.0
2019-01-01 17:00:00,184.70115,50.0,369.4023,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15464.959499999999,-0.0,0.0,13461.5963,11531.121,0.0,11531.121,0.0,1845.3641,0.0,1845.3641,0.0,885.77475,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18092.717,3048.064,24992.717,0.0,0.0,3048.064,0.0,0.0,24992.717,158.064,3000.0
2019-01-01 18:00:00,127.22989,50.0,254.45977,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14997.89265,-0.0,0.0,16750.3748,8242.3422,0.0,8242.3422,0.0,7663.855,0.0,7663.855,0.0,3678.6504,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18092.717,3076.9,24992.717,0.0,0.0,3076.9,0.0,0.0,24992.717,186.9,3000.0
2019-01-01 19:00:00,69.758621,50.0,139.51724,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15097.97075,-0.0,0.0,18879.3952,6113.3219,0.0,6113.3219,0.0,12267.76,0.0,12267.76,0.0,5888.5249,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18092.717,3096.124,24992.717,0.0,0.0,3096.124,0.0,0.0,24992.717,206.124,3000.0
2019-01-01 20:00:00,12.287356,50.0,24.574713,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14445.641549999998,-0.0,0.0,17147.7221,7844.995,0.0,7844.995,0.0,7261.0387,0.0,7261.0387,0.0,3485.2986,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18092.717,3115.348,24992.717,0.0,0.0,3115.348,0.0,0.0,24992.717,225.348,3000.0
2019-01-01 21:00:00,0.0,10.69,0.0,21.38,0.0,0.0,0.0,0.0,0.0,0.0,13796.95545,-0.0,0.0,14515.4165,10398.681,0.0,10398.681,0.0,613.47687,0.0,613.47687,0.0,294.4689,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2840.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18092.717,3103.806,24914.097,0.0,0.0,3103.806,0.0,0.0,24914.097,253.116,3000.0
