timeindex;pev;vwc_rzd;pv_profile;ghi;t_air;e;tp;windspeed;wind_turbine;river-flow;river-water-source
2022-01-01T00:00:00Z;-2.76e-06;0.20640403;0.0;0.0;26.494812;-0.03578198;0.000755194;0.97473514;0.013;0.993033968;1
2022-01-01T01:00:00Z;-7.88e-07;0.20657344;0.0;0.0;26.293396;-0.023573332;0.000143396;0.45877343;0.006;0.593617135;1
2022-01-01T02:00:00Z;-2.03e-07;0.20660242;0.0;0.0;26.173248;-0.020033257;4.1e-05;0.90518606;0.004;0.526767152;1
2022-01-01T03:00:00Z;-1.01e-07;0.20682344;0.0;0.0;26.003113;-0.020260952;0.000442809;0.6529405;0.002;0.789091119;1
2022-01-01T04:00:00Z;-1.69e-06;0.20712516;0.0;0.0;26.241852;-0.02026638;0.000163029;0.70657927;0.005;0.606434684;1
2022-01-01T05:00:00Z;-2.18e-06;0.20717762;0.0;0.0;25.929596;-0.025085872;3.47e-05;0.95286155;0.014;0.522654151;1
2022-01-01T06:00:00Z;-2.49e-06;0.20716684;0.0;0.0;25.636383;-0.032502126;0.00011675;1.1197346;0.042;0.576221098;1
2022-01-01T07:00:00Z;-2.6e-06;0.2071602;0.0;0.0;25.871002;-0.042558547;0.000132176;1.5757734;0.071;0.586292076;1
2022-01-01T08:00:00Z;-2.47e-06;0.2071993;0.0;0.0;25.238678;-0.05086389;0.000374792;1.6158085;0.092;0.744685719;1
2022-01-01T09:00:00Z;-1.18e-06;0.20727712;0.0;0.0;25.01065;-0.05037598;0.000183715;1.3233926;0.103;0.619939692;1
2022-01-01T10:00:00Z;-1.65e-06;0.20812492;0.0;0.0;24.808716;-0.049915165;0.000352003;1.574277;0.102;0.729807753;1
2022-01-01T11:00:00Z;-2.36e-06;0.20822275;0.01;0.0;24.838318;-0.053097434;0.000567974;1.2210199;0.094;0.870806012;1
2022-01-01T12:00:00Z;-4.73e-06;0.20827015;0.174;0.01;24.661072;-0.05838857;0.000885968;1.6579899;0.075;1.078410738;1
2022-01-01T13:00:00Z;-2.15e-05;0.20827085;0.364;0.08;24.801971;-0.07592089;0.000610746;1.8656665;0.056;0.898730027;1
2022-01-01T14:00:00Z;-4.82e-05;0.20824435;0.522;0.18;25.760956;-0.10511971;0.00036147;2.3761458;0.034;0.735988353;1
2022-01-01T15:00:00Z;-5.68e-05;0.20822175;0.631;0.21;25.662994;-0.113885865;0.000200894;2.3962855;0.013;0.631155128;1
2022-01-01T16:00:00Z;-6.68e-05;0.20818615;0.685;0.23;25.967712;-0.11768615;9.68e-05;2.0288205;0.0;0.563196593;1
2022-01-01T17:00:00Z;-0.000100116;0.20814523;0.693;0.34;26.778687;-0.13449201;0.000103427;1.597217;0.0;0.567523079;1
2022-01-01T18:00:00Z;-0.000177224;0.2081343;0.652;0.53;27.14978;-0.19120908;0.000146551;1.1467382;0.001;0.5956769;1
2022-01-01T19:00:00Z;-0.000162986;0.20812204;0.564;0.45;27.44159;-0.16654783;0.00011675;0.62052536;0.01;0.576221098;1
2022-01-01T20:00:00Z;-0.000160964;0.20828968;0.426;0.46;27.59607;-0.16127297;0.000146901;0.87188053;0.021;0.5959054;1
2022-01-01T21:00:00Z;-7.43e-05;0.20862435;0.245;0.2;27.533112;-0.10141157;0.000489789;0.95122296;0.025;0.819762358;1
2022-01-01T22:00:00Z;-4.19e-05;0.20855394;0.054;0.13;27.020416;-0.07465774;0.000801123;0.61931425;0.024;1.023019054;1
2022-01-01T23:00:00Z;-1.5e-05;0.20911305;0.0;0.04;26.828766;-0.048906818;0.000559909;0.22565061;0.017;0.865540717;1
