timeindex,cooking,drinking-water,electricity,service-water
2022-01-01T00:00:00Z,0,0,7.351924283,0
2022-01-01T01:00:00Z,0,0,20.1177736,0
2022-01-01T02:00:00Z,0,0,29.82278188,0
2022-01-01T03:00:00Z,0,0,37.26026222,0
2022-01-01T04:00:00Z,0.008000583,0,41.01162192,0
2022-01-01T05:00:00Z,0.1020003,4.645833333,49.32355712,0
2022-01-01T06:00:00Z,0.070000833,4.745830333,58.02410175,0
2022-01-01T07:00:00Z,0.000002,3.579185667,56.53451197,6.379165
2022-01-01T08:00:00Z,3.17E-07,3.862518,56.04273545,11.41150233
2022-01-01T09:00:00Z,10.1277443,0,51.5977415,9.707638667
2022-01-01T10:00:00Z,148.0509513,4.187628,54.8494052,0
2022-01-01T11:00:00Z,282.3608033,4.154288667,55.601065,0
2022-01-01T12:00:00Z,129.6270706,3.462524,56.44356625,0
2022-01-01T13:00:00Z,7.60446175,0,57.73774318,0
2022-01-01T14:00:00Z,0,0,67.57700343,10.188388
2022-01-01T15:00:00Z,0,0,65.85533417,9.607593667
2022-01-01T16:00:00Z,6.401629383,0.050118,52.73441377,10.46332
2022-01-01T17:00:00Z,125.5165728,0.00012,46.70275222,8.115335667
2022-01-01T18:00:00Z,291.9845839,0.0126,50.1365011,0
2022-01-01T19:00:00Z,142.9784325,0.0126,59.25192822,0
2022-01-01T20:00:00Z,9.8905325,0.0126,68.68483188,0
2022-01-01T21:00:00Z,0,0.0126,70.90248485,0
2022-01-01T22:00:00Z,0,0.0126,60.83392722,0
2022-01-01T23:00:00Z,0,0,23.80252083,0
