timeindex,time,cf_aware,seawater-source_moo_profile,solar-resource_moo_profile,wind-resource_moo_profile,precipitation_moo_profile,diesel_moo_profile,groundwater_moo_profile,bottled-water_moo_profile,run-of-river-hydropower_moo_profile,seawater-reverse-osmosis_moo_profile,photovoltaics_moo_profile,rainwater-harvesting_moo_profile,wind-turbine_moo_profile,water-filtration-system_moo_profile,water pump_moo_profile,river-flow_moo_profile
2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T01:00:00Z,2022-01-01T01:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T02:00:00Z,2022-01-01T02:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T03:00:00Z,2022-01-01T03:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T04:00:00Z,2022-01-01T04:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T05:00:00Z,2022-01-01T05:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T06:00:00Z,2022-01-01T06:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T07:00:00Z,2022-01-01T07:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T08:00:00Z,2022-01-01T08:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T09:00:00Z,2022-01-01T09:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T10:00:00Z,2022-01-01T10:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T11:00:00Z,2022-01-01T11:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T12:00:00Z,2022-01-01T12:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T13:00:00Z,2022-01-01T13:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T14:00:00Z,2022-01-01T14:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T15:00:00Z,2022-01-01T15:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T16:00:00Z,2022-01-01T16:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T17:00:00Z,2022-01-01T17:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T18:00:00Z,2022-01-01T18:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T19:00:00Z,2022-01-01T19:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T20:00:00Z,2022-01-01T20:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T21:00:00Z,2022-01-01T21:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T22:00:00Z,2022-01-01T22:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01T23:00:00Z,2022-01-01T23:00:00Z,0.1,0.0,0.0,0.0,0.0,1.818181818181818,0.0,565.4545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
