bus,direction,asset,carrier,facade_type,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 03:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,storage_capacity_cost,capacity,expandable,storage_capacity,efficiency,capex,opex_fix,lifetime,ghg_emission_factor,land_requirement_factor,water_footprint_factor,capacity_total,capacity_added,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total,ghg_emissions,land_requirement_additional,land_requirement_total,water_footprint
drinking-water-bus,out,water-filtration,water,filtration,-0.0,-0.0,-0.0,,,-0.0,-0.0,0.0,2.7777777e-10,0.0,1.6244256e-13,,0.0,1.0,,,500.0,10.0,10.0,0.0,10.0,50.0,,,,,,0.0,0.0,,,0.0
groundwater-bus,in,water pump,water,water-pump,50.0,60.0,90.0,,,50.0,90.0,200.0,0.0,0.0,7.61653e-14,,0.0,1.0,,,300.0,15.0,20.0,0.0,0.5,0.0,,,,,,0.0,0.0,,,0.0
groundwater-bus,out,groundwater,water,dispatchable,50.0,60.0,90.0,,90.0,50.0,90.0,200.0,5.5555557e-11,,0.0,,0.0,1.0,,,,,,0.0,0.0,10.0,90.0,90.0,0.0,,,1.1111111336559176e-08,0.0,0.0,0.0,2000.0
precipitation-bus,in,rainwater-harvesting,water,conversion,-0.0,-0.0,-0.0,,,-0.0,-0.0,0.0,1.0695187e-10,,2.4048425e-13,,0.0,1.0,,0.95,245.0,61.0,4.0,20.0,0.0,0.0,,,,,,,0.0,,,0.0
precipitation-bus,out,precipitation,water,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
river-flow-bus,out,river-flow,energy,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,2.7777778e-11,,0.0,,0.0,1.0,,,,,,0.0,0.0,5.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
river-water-bus,in,river-water-uptake,water,conversion,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0695187e-10,,2.4048425e-13,,0.0,1.0,,0.95,245.0,61.0,4.0,20.0,0.0,0.0,,,,,,,0.0,,,0.0
river-water-bus,out,river-water,water,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,2.7777778e-11,,0.0,,0.0,1.0,,,,,,0.0,0.0,5.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
service-water-bus,in,microfiltration,water,water-filtration,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,1.0,,,,,10.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0
service-water-bus,in,service-water-demand,water,load,50.0,60.0,90.0,,,50.0,90.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,
service-water-bus,in,service-water-storage,water,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,1.1229947e-11,,0.0,2.284754e-14,0.0,1.0,0.0,0.99,70.0,2.0,20.0,2.1,4.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,0.0,-0.0,0.0,0.0
service-water-bus,in,water-filtration,water,filtration,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,2.7777777e-10,0.0,1.6244256e-13,,0.0,1.0,,,500.0,10.0,10.0,0.0,10.0,50.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
service-water-bus,out,rainwater-harvesting,water,conversion,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,1.0695187e-10,,2.4048425e-13,,0.0,1.0,,0.95,245.0,61.0,4.0,20.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
service-water-bus,out,river-water-uptake,water,conversion,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,0.0,1.0695187e-10,,2.4048425e-13,,0.0,1.0,,0.95,245.0,61.0,4.0,20.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
service-water-bus,out,service-water-storage,water,storage,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,1.1229947e-11,,0.0,2.284754e-14,0.0,1.0,0.0,0.99,70.0,2.0,20.0,2.1,4.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
service-water-bus,out,water pump,water,water-pump,50.0,60.0,90.0,,90.0,50.0,90.0,200.0,0.0,0.0,7.61653e-14,,0.0,1.0,,,300.0,15.0,20.0,0.0,0.5,0.0,90.0,90.0,6.85487677363171e-12,27000.0,1350.0,0.0,0.0,45.0,45.0,0.0
solar-bus-crop,in,banana,energy,crop,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,,,,,,0.0,1.0,0.0,,,,,,0.0,0.0,,,0.0
solar-bus-crop,out,solar-resource-crop,energy,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
solar-bus-pv,in,pv-panel,energy,conversion,-0.0,-0.0,-0.0,,,-0.0,-0.0,0.0,0.0,,1.6335692e-13,,3.87,1.0,,0.2,800.0,18.0,24.0,0.0,7.0,0.0,,,,,,,0.0,,,0.0
solar-bus-pv,out,solar-resource-pv,energy,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
wind-bus,in,wind-turbine,energy,conversion,-0.0,-0.0,-0.0,,,-0.0,-0.0,0.0,0.0,,3.463544e-13,,0.0,1.0,,0.4,2000.0,12.0,20.0,0.0,3.0,0.0,,,,,,,0.0,,,0.0
wind-bus,out,wind-resource,energy,dispatchable,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,,,0.0,0.0,-0.0,0.0,0.0
