name,var_name,var_value,region,type,carrier,tech
drinking-water-storage,invest_out_water,-0.0,,storage,water,storage
service-water-storage,invest_out_water,-0.0,,storage,water,storage
drinking-water-storage,storage_losses,0.0,,storage,water,storage
service-water-storage,storage_losses,0.0,,storage,water,storage
drinking-water-storage,summed_variable_costs_out_water,0.0,,storage,water,storage
service-water-storage,summed_variable_costs_out_water,0.0,,storage,water,storage
banana-production,flow_in_bus,0.0,,excess,,
brine-excess,flow_in_bus,0.0,,excess,,
electricity-demand,flow_in_elec,120.0,DE,load,,
electricity-excess,flow_in_elec,418.90999999999997,,excess,,
drinking-water-demand,flow_in_water,60.0,CO,load,,
service-water-demand,flow_in_water,200.0,CO,load,,
system,total_system_cost,4.719130427101573e-08,,,,
