bus,direction,asset,carrier,facade_type,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00,2022-01-02 17:00:00,2022-01-02 18:00:00,2022-01-02 19:00:00,2022-01-02 20:00:00,2022-01-02 21:00:00,2022-01-02 22:00:00,2022-01-02 23:00:00,2022-01-03 00:00:00,2022-01-03 01:00:00,2022-01-03 02:00:00,2022-01-03 03:00:00,2022-01-03 04:00:00,2022-01-03 05:00:00,2022-01-03 06:00:00,2022-01-03 07:00:00,2022-01-03 08:00:00,2022-01-03 09:00:00,2022-01-03 10:00:00,2022-01-03 11:00:00,2022-01-03 12:00:00,2022-01-03 13:00:00,2022-01-03 14:00:00,2022-01-03 15:00:00,2022-01-03 16:00:00,2022-01-03 17:00:00,2022-01-03 18:00:00,2022-01-03 19:00:00,2022-01-03 20:00:00,2022-01-03 21:00:00,2022-01-03 22:00:00,2022-01-03 23:00:00,2022-01-04 00:00:00,2022-01-04 01:00:00,2022-01-04 02:00:00,2022-01-04 03:00:00,2022-01-04 04:00:00,2022-01-04 05:00:00,2022-01-04 06:00:00,2022-01-04 07:00:00,2022-01-04 08:00:00,2022-01-04 09:00:00,2022-01-04 10:00:00,2022-01-04 11:00:00,2022-01-04 12:00:00,2022-01-04 13:00:00,2022-01-04 14:00:00,2022-01-04 15:00:00,2022-01-04 16:00:00,2022-01-04 17:00:00,2022-01-04 18:00:00,2022-01-04 19:00:00,2022-01-04 20:00:00,2022-01-04 21:00:00,2022-01-04 22:00:00,2022-01-04 23:00:00,2022-01-05 00:00:00,2022-01-05 01:00:00,2022-01-05 02:00:00,2022-01-05 03:00:00,2022-01-05 04:00:00,2022-01-05 05:00:00,2022-01-05 06:00:00,2022-01-05 07:00:00,2022-01-05 08:00:00,2022-01-05 09:00:00,2022-01-05 10:00:00,2022-01-05 11:00:00,2022-01-05 12:00:00,2022-01-05 13:00:00,2022-01-05 14:00:00,2022-01-05 15:00:00,2022-01-05 16:00:00,2022-01-05 17:00:00,2022-01-05 18:00:00,2022-01-05 19:00:00,2022-01-05 20:00:00,2022-01-05 21:00:00,2022-01-05 22:00:00,2022-01-05 23:00:00,2022-01-06 00:00:00,2022-01-06 01:00:00,2022-01-06 02:00:00,2022-01-06 03:00:00,2022-01-06 04:00:00,2022-01-06 05:00:00,2022-01-06 06:00:00,2022-01-06 07:00:00,2022-01-06 08:00:00,2022-01-06 09:00:00,2022-01-06 10:00:00,2022-01-06 11:00:00,2022-01-06 12:00:00,2022-01-06 13:00:00,2022-01-06 14:00:00,2022-01-06 15:00:00,2022-01-06 16:00:00,2022-01-06 17:00:00,2022-01-06 18:00:00,2022-01-06 19:00:00,2022-01-06 20:00:00,2022-01-06 21:00:00,2022-01-06 22:00:00,2022-01-06 23:00:00,2022-01-07 00:00:00,2022-01-07 01:00:00,2022-01-07 02:00:00,2022-01-07 03:00:00,2022-01-07 04:00:00,2022-01-07 05:00:00,2022-01-07 06:00:00,2022-01-07 07:00:00,2022-01-07 08:00:00,2022-01-07 09:00:00,2022-01-07 10:00:00,2022-01-07 11:00:00,2022-01-07 12:00:00,2022-01-07 13:00:00,2022-01-07 14:00:00,2022-01-07 15:00:00,2022-01-07 16:00:00,2022-01-07 17:00:00,2022-01-07 18:00:00,2022-01-07 19:00:00,2022-01-07 20:00:00,2022-01-07 21:00:00,2022-01-07 22:00:00,2022-01-07 23:00:00,2022-01-08 00:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,capacity,expandable,capex,opex_fix,lifetime,capacity_total,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total
biomass-bus,in,biomass-excess,biomass,excess,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,84.98352,188.09334,271.48227,312.71014,312.648,259.79654,171.24266,80.560544,10.986368,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,4.073568,74.404288,168.20736,253.3296,315.75066,318.48541,266.66099,171.67142,77.089824,11.395872,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,80.963328,185.26406,280.24022,326.76941,326.56656,252.18179,170.28493,78.46224,11.271008,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,76.923744,193.18221,283.62595,322.67638,320.46547,259.71472,155.98224,74.115968,11.119776,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,72.08496,185.60634,277.46493,324.7968,321.52563,270.90301,180.10496,85.387168,12.473344,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,64.473856,163.76208,266.35037,318.78835,322.65398,279.5569,189.13414,89.593984,13.742912,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,60.838432,161.24659,248.51027,302.25082,295.84307,253.48499,179.60285,90.957504,14.166752,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,,,3.2e-08,326.76941,11808.687788912,0.0,,,,,,,,,,,,
biomass-bus,out,apv-system,biomass,,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,84.98352,188.09334,271.48227,312.71014,312.648,259.79654,171.24266,80.560544,10.986368,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,4.073568,74.404288,168.20736,253.3296,315.75066,318.48541,266.66099,171.67142,77.089824,11.395872,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,80.963328,185.26406,280.24022,326.76941,326.56656,252.18179,170.28493,78.46224,11.271008,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,76.923744,193.18221,283.62595,322.67638,320.46547,259.71472,155.98224,74.115968,11.119776,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,72.08496,185.60634,277.46493,324.7968,321.52563,270.90301,180.10496,85.387168,12.473344,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,64.473856,163.76208,266.35037,318.78835,322.65398,279.5569,189.13414,89.593984,13.742912,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,60.838432,161.24659,248.51027,302.25082,295.84307,253.48499,179.60285,90.957504,14.166752,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,,,3.2e-08,326.76941,11808.687788912,,,37.38,320.0,0.0,2970.8,55.0,30.0,,,,,
electricity-bus,in,demand,electricity,load,3.241487314,3.53720707,4.135785579,4.975337536,6.99669962,9.477737876,23.77437834,37.69388591,40.69190565,37.76054617,27.19031324,27.75566108,20.30511148,14.85822862,22.53646834,24.96612689,27.39967875,22.95316302,32.5450827,34.17438781,30.17544284,18.14893945,8.225618172,3.900406794,3.058272289,3.638287835,4.093610718,5.287147454,6.791616169,7.562902073,27.82265534,39.90775106,44.68193205,37.09441418,21.85999069,21.31671996,25.50785152,13.7535658,29.27139215,32.17132603,28.50538351,23.994168,32.67933526,34.93435596,30.10384179,23.02696151,9.356890661,5.209210904,3.578573376,4.620715146,4.458348859,6.285203715,6.169994355,8.874836029,13.97815209,22.91827299,39.37334439,40.5338743,33.31831754,14.38940142,14.38703371,14.21448654,20.55542811,32.35076347,36.14735747,44.22272358,45.61471396,44.60216512,30.49109801,21.18384434,10.3391762,4.884162736,3.229919021,4.030616082,4.154193018,4.294767331,5.27561993,7.094882308,11.53773301,35.98606844,42.95224278,37.43688703,17.01477515,17.00958203,28.16166727,31.93207772,31.85446665,30.95060458,36.26259185,31.61983996,36.85101472,36.84067885,34.04702322,21.21051479,7.806883426,6.491641301,2.957257944,3.334462018,4.685356591,4.700483154,5.742748612,9.297192598,15.32866736,33.28715267,43.23018135,41.28906907,33.04948848,29.29252799,30.05121504,30.4933106,28.8638578,18.51434911,17.31441736,24.17680315,35.34037396,35.76492236,31.81855191,20.74032162,8.736336783,3.857931202,4.358254972,4.613068487,4.857529361,5.469494821,5.668193834,15.77948807,17.31019022,32.87141226,34.74223152,35.03132634,28.02483425,25.0887212,24.34353865,24.00839743,21.21101593,33.76450312,36.03705547,36.74949969,28.80072168,25.55480724,22.72407045,19.69732019,10.66958481,4.95162603,4.256483767,4.78683967,5.171925745,5.478543658,6.770319473,7.390307967,12.13401378,20.56306735,21.51934389,28.02656302,33.17072822,32.8536523,35.32438209,34.74095859,22.05163261,34.25555906,30.21916016,26.13804315,44.56788316,44.04943371,24.79385953,15.36895721,8.639578268,5.340552858,,,2.957257944,45.61471396,3562.39311508,,,,,,,,,,,,,
electricity-bus,in,electricity-excess,electricity,excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.7976,8036.8418,18821.597,27498.187,33082.278,35464.216,34318.978,29836.329,22199.122,11994.758,2134.1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.59135,8044.0442,18853.737,27669.278,33338.403,35641.103,34427.896,29976.521,22256.362,12108.235,2190.4334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.17245,7919.293,18626.182,27233.821,32856.958,34874.614,33888.537,28817.389,21603.061,11770.467,2189.0836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.95128,7631.1041,18107.574,26810.451,32347.934,33407.447,32368.399,28242.64,19427.761,10569.74,1991.7571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.81004,8098.1504,19071.278,27982.639,33832.762,36282.563,35229.351,30682.693,22998.389,12705.164,2503.1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.52334,8110.7553,19210.221,28210.187,34032.62,36414.178,35374.957,30856.238,23164.315,12877.849,2610.4088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.54389,8077.7525,19107.001,28096.177,33994.094,36445.763,35419.709,30865.868,23225.517,13001.202,2697.9187,0.0,0.0,0.0,0.0,0.0,,,0.0,36445.763,1572457.85035,0.0,,,,,,,,,,,,
electricity-bus,out,apv-system,electricity,,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,445.4895,8074.6023,18848.787,27525.942,33102.584,35479.074,34341.515,29861.295,22226.522,12017.711,2166.6483,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,439.27328,8081.1387,18875.597,27690.595,33363.911,35654.856,34457.167,30008.693,22284.867,12132.229,2223.1127,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,424.54579,7959.8269,18659.501,27248.21,32871.345,34888.829,33909.092,28849.74,21639.209,11814.69,2234.6983,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,402.90352,7668.541,18124.588,26827.461,32376.096,33439.379,32400.254,28273.591,19464.023,10601.36,2028.6081,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,423.04022,8139.4395,19104.327,28011.932,33862.813,36313.057,35258.215,30701.207,23015.703,12729.341,2538.4447,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,419.26557,8145.7866,19238.246,28235.275,34056.963,36438.186,35396.168,30890.002,23200.352,12914.599,2639.2096,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,415.06323,8105.779,19140.172,28129.03,34029.418,36480.504,35441.76,30900.123,23255.736,13027.34,2742.4866,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,,,3.2e-08,36480.504,1574747.085412912,,,37.38,320.0,0.0,2970.8,55.0,30.0,,,,,
electricity-bus,out,back-up-elec,electricity,dispatchable,3.2414873,3.537207,4.1357855,4.9753375,6.9966996,9.4777378,23.774378,37.693886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.174388,30.175443,18.148939,8.2256181,3.9004068,3.0582723,3.6382878,4.0936107,5.2871474,6.7916161,7.562902,27.822655,39.907751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.934356,30.103842,23.026961,9.3568906,5.2092109,3.5785733,4.6207151,4.4583488,6.2852037,6.1699943,8.874836,13.978152,22.918273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.602165,30.491098,21.183844,10.339176,4.8841627,3.229919,4.030616,4.154193,4.2947673,5.2756199,7.0948823,11.537733,35.986068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.840679,34.047023,21.210515,7.8068834,6.4916413,2.9572579,3.334462,4.6853566,4.7004831,5.7427486,9.2971926,15.328667,33.287153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.764922,31.818552,20.740322,8.7363368,3.8579312,4.3582549,4.6130685,4.8575293,5.4694948,5.6681938,15.779488,17.31019,32.871412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.554807,22.72407,19.69732,10.669585,4.951626,4.2564837,4.7868396,5.1719257,5.4785436,6.7703194,7.3903079,12.134014,20.563067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.049434,24.793859,15.368957,8.6395782,5.3405528,,44.602165,0.0,44.602165,1273.1562045,0.088,0.0,0.0,0.0,1.0,,,,44.602165,0.0,,,112.03774538891182
rain-bus,in,apv-system,water,,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,,,3.2e-08,3.2e-05,0.002466912,,,37.38,320.0,0.0,2970.8,55.0,30.0,,,,,
rain-bus,out,rain,water,dispatchable,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-05,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,,3.2e-05,3.2e-08,3.2e-05,0.002466912,0.0,0.0,0.0,0.0,1.0,,,,3.2e-05,0.0,,,0.0
solar-energy-bus,in,apv-system,solar,,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2271.8016,42182.656,101917.4,153404.84,188104.22,203328.85,196538.73,168771.14,122905.01,64748.886,11364.067,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2226.2656,41909.434,101679.6,153561.69,188782.23,204062.48,196994.08,169494.67,123041.62,65184.022,11652.467,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2150.368,41226.378,100581.64,151300.01,186328.26,199448.05,193609.15,162132.81,119226.61,63443.491,11698.013,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2039.056,39657.878,97469.933,148906.78,183211.5,190426.62,184233.56,158747.88,106668.46,56810.234,10625.354,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2135.1904,41995.456,102656.11,155297.17,191509.4,207194.45,200804.04,172788.51,126816.15,68346.333,13266.512,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2120.0128,42132.064,103162.09,155909.39,192157.02,207528.38,201390.98,173876.35,127919.17,69368.387,13802.845,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2094.7104,41853.779,102494.2,155115.02,191362.68,207133.73,200778.75,173127.52,127883.74,69940.147,14334.112,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,,,3.2e-08,207528.38,8782362.592802914,,,37.38,320.0,0.0,2970.8,55.0,30.0,,,,,
solar-energy-bus,out,sun,solar,volatile,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2271.8016,42182.655999999995,101917.4016,153404.8448,188104.224,203328.848,196538.72960000002,168771.136,122905.01120000001,64748.8864,11364.0672,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2226.2656,41909.433600000004,101679.59999999999,153561.6896,188782.22720000002,204062.47999999998,196994.08,169494.66879999998,123041.6224,65184.0224,11652.467200000001,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2150.368,41226.37759999999,100581.6416,151300.0096,186328.256,199448.048,193609.152,162132.81279999999,119226.61120000001,63443.4912,11698.012799999999,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2039.056,39657.8784,97469.93280000001,148906.7776,183211.504,190426.624,184233.5552,158747.8816,106668.4576,56810.2336,10625.3536,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2135.1904,41995.456000000006,102656.112,155297.168,191509.3952,207194.4544,200804.0416,172788.51200000002,126816.15359999999,68346.3328,13266.512,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2120.0128,42132.064,103162.0896,155909.3856,192157.02399999998,207528.38400000002,201390.97600000002,173876.352,127919.168,69368.3872,13802.8448,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,2094.7104,41853.7792,102494.19840000001,155115.0208,191362.6752,207133.728,200778.75199999998,173127.52000000002,127883.744,69940.1472,14334.112000000001,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,,,3.2e-08,207528.38400000002,8782362.601602914,0.0,,0.0,320.0,0.0,0.0,0.0,30.0,,,,,0.0
