timeindex,wind-profile,pv-profile
2019-01-01T00:00:00Z,0.341,0
2019-01-01T01:00:00Z,0.32,0
2019-01-01T02:00:00Z,0.308,0
2019-01-01T03:00:00Z,0.335,0
2019-01-01T04:00:00Z,0.367,0
2019-01-01T05:00:00Z,0.452,0
2019-01-01T06:00:00Z,0.415,0
2019-01-01T07:00:00Z,0.401,0
2019-01-01T08:00:00Z,0.346,0.014
2019-01-01T09:00:00Z,0.18,0.086
2019-01-01T10:00:00Z,0.077,0.215
2019-01-01T11:00:00Z,0.052,0.404
2019-01-01T12:00:00Z,0.031,0.522
2019-01-01T13:00:00Z,0.037,0.594
2019-01-01T14:00:00Z,0.073,0.588
2019-01-01T15:00:00Z,0.116,0.426
2019-01-01T16:00:00Z,0.175,0.174
2019-01-01T17:00:00Z,0.223,0
2019-01-01T18:00:00Z,0.205,0
2019-01-01T19:00:00Z,0.15,0
2019-01-01T20:00:00Z,0.09,0
2019-01-01T21:00:00Z,0.05,0
2019-01-01T22:00:00Z,0.03,0
2019-01-01T23:00:00Z,0.018,0
