name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;profile;expandable;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_footprint_factor;land_requirement;water_footprint;ghg_emissions;output_parameters
pv;volatile;electricity;pv;1;137.18;dc-elec-bus;0;ghi;True;1000;50;20;0;9.0;0;2;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0, ""land_requirement_factor"": 9.0, ""water_footprint_factor"": 2, ""land_requirement"": NaN, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0}}"
rainwater-harvesting;volatile;water;rainwater-harvesting;0;11.72;service-water-bus;0;tp;True;100;3;20;0;1.3;0;1;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0, ""land_requirement_factor"": 1.3, ""water_footprint_factor"": 1, ""land_requirement"": NaN, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0}}"
