name;type;carrier;tech;capacity;capacity_potential;capacity_minimum;capacity_cost;marginal_cost;carrier_cost;efficiency;from_bus;to_bus;expandable;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_footprint_factor;land_requirement;ghg_emissions;water_footprint;output_parameters
inverter;conversion;energy;inverter;0.0;;;9.72;0.0;0;0.9;dc-elec-bus;ac-elec-bus;True;100.0;1.0;20.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.1, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
diesel-generator;conversion;energy;diesel-generator;0.0;;;166.12;0.0;0;0.35;diesel-bus;ac-elec-bus;False;817.0;82.0;15.0;0.1;0.3;0.7;0.4;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.7, ""land_requirement_factor"": 0.3, ""water_footprint_factor"": 0.4, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.1}}"
rainwater-harvesting;conversion;water;rainwater-harvesting;0.0;;;11.72;0.0;0;0.95;precipitation-bus;service-water-bus;True;100.0;3.0;20.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 1.3, ""water_footprint_factor"": 0.0, ""land_requirement"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
