timeindex;ghi;t_air;e;tp;windspeed
2022-01-01T00:00:00Z;0.0;12.426422;-0.002762768;0.0;1.6405334
2022-01-01T01:00:00Z;0.0;11.633209;-0.002262648;0.0;1.6609228
2022-01-01T02:00:00Z;0.0;11.225983;-0.002000248;0.0;1.5730957
2022-01-01T03:00:00Z;0.0;10.893707;-0.001662178;0.0;1.3915828
2022-01-01T04:00:00Z;0.0;10.251617;-0.00137277;0.0;1.2074517
2022-01-01T05:00:00Z;0.0;9.695221;-0.001155073;0.0;1.1317331
2022-01-01T06:00:00Z;0.0;9.794586;-0.001212116;0.0;1.4002303
2022-01-01T07:00:00Z;0.0;9.349518;-0.001817942;0.0;1.7257688
2022-01-01T08:00:00Z;0.007431111;10.141022;-0.002673827;0.0;1.910671
2022-01-01T09:00:00Z;0.12997333;13.5086975;-0.012678327;0.0;2.6713848
2022-01-01T10:00:00Z;0.30896;18.416168;-0.0358494;0.0;2.1276553
2022-01-01T11:00:00Z;0.46094223;21.28946;-0.06388337;0.0;2.2328777
2022-01-01T12:00:00Z;0.5617778;23.590729;-0.087623484;0.0;1.7919047
2022-01-01T13:00:00Z;0.60064;24.87027;-0.10235398;0.0;1.1767362
2022-01-01T14:00:00Z;0.5737244;25.639801;-0.10279287;0.0;0.74418527
2022-01-01T15:00:00Z;0.48343112;25.92276;-0.0918929;0.0;1.4961472
2022-01-01T16:00:00Z;0.33952;25.952057;-0.07068715;0.0;2.2075534
2022-01-01T17:00:00Z;0.16252444;23.339264;-0.038650118;0.0;2.0860436
2022-01-01T18:00:00Z;0.018275555;18.704498;-0.013290206;0.0;2.7381063
2022-01-01T19:00:00Z;0.0;16.959137;-0.008235686;0.0;2.6553357
2022-01-01T20:00:00Z;0.0;14.693756;-0.006451039;0.0;2.9193804
2022-01-01T21:00:00Z;0.0;14.333893;-0.003927155;0.0;3.3963373
2022-01-01T22:00:00Z;0.0;14.834869;-0.001491513;0.0;2.9937963
2022-01-01T23:00:00Z;0.0;17.121735;-0.000596745;0.0;1.958649
2022-01-02T00:00:00Z;0.0;16.91983;-0.000338303;0.0;1.4039286
2022-01-02T01:00:00Z;0.0;15.937164;-0.000320841;0.0;1.4292835
2022-01-02T02:00:00Z;0.0;13.82193;-0.000247266;0.0;1.7519733
2022-01-02T03:00:00Z;0.0;13.374176;-0.00012829;0.0;1.9168658
2022-01-02T04:00:00Z;0.0;13.15567;8.38E-06;0.0;1.9642283
