timeindex;pev;vwc_rzd;ghi;t_air;e;tp;windspeed;ac-discharge;river-flow
2022-01-01T00:00:00Z;-2.76e-06;0.20640403;9.97222e-05;26.494812;-0.03578198;0.000755194;0.97473514;0.0033;360
2022-01-01T01:00:00Z;-7.88e-07;0.20657344;3.47e-08;26.293396;-0.023573332;0.000143396;0.45877343;0.0033;360
2022-01-01T02:00:00Z;-2.03e-07;0.20660242;3.47e-08;26.173248;-0.020033257;4.10201e-05;0.90518606;0.0033;360
2022-01-01T03:00:00Z;-1.01e-07;0.20682344;3.47e-08;26.003113;-0.020260952;0.000442809;0.6529405;0.0033;360
2022-01-01T04:00:00Z;-1.69e-06;0.20712516;3.47e-08;26.241852;-0.02026638;0.000163029;0.70657927;0.0033;360
2022-01-01T05:00:00Z;-2.18e-06;0.20717762;3.47e-08;25.929596;-0.025085872;3.47095e-05;0.95286155;0.0033;360
2022-01-01T06:00:00Z;-2.49e-06;0.20716684;3.47e-08;25.636383;-0.032502126;0.00011675;1.1197346;0.0033;360
2022-01-01T07:00:00Z;-2.6e-06;0.2071602;3.47e-08;25.871002;-0.042558547;0.000132176;1.5757734;0.0033;360
2022-01-01T08:00:00Z;-2.47e-06;0.2071993;3.47e-08;25.238678;-0.05086389;0.000374792;1.6158085;0.0033;360
2022-01-01T09:00:00Z;-1.18e-06;0.20727712;3.47e-08;25.01065;-0.05037598;0.000183715;1.3233926;0.0033;360
2022-01-01T10:00:00Z;-1.65e-06;0.20812492;3.47e-08;24.808716;-0.049915165;0.000352003;1.574277;0.0033;360
2022-01-01T11:00:00Z;-2.36e-06;0.20822275;3.47e-08;24.838318;-0.053097434;0.000567974;1.2210199;0.0033;360
2022-01-01T12:00:00Z;-4.73e-06;0.20827015;0.011054063;24.661072;-0.05838857;0.000885968;1.6579899;0.0033;360
2022-01-01T13:00:00Z;-2.15e-05;0.20827085;0.07777719;24.801971;-0.07592089;0.000610746;1.8656665;0.0033;360
2022-01-01T14:00:00Z;-4.82e-05;0.20824435;0.18424356;25.760956;-0.10511971;0.00036147;2.3761458;0.0033;360
2022-01-01T15:00:00Z;-5.68e-05;0.20822175;0.21367352;25.662994;-0.113885865;0.000200894;2.3962855;0.0033;360
2022-01-01T16:00:00Z;-6.68e-05;0.20818615;0.22623753;25.967712;-0.11768615;9.67654e-05;2.0288205;0.0033;360
2022-01-01T17:00:00Z;-0.000100116;0.20814523;0.33731927;26.778687;-0.13449201;0.000103427;1.597217;0.0033;360
2022-01-01T18:00:00Z;-0.000177224;0.2081343;0.5278591;27.14978;-0.19120908;0.000146551;1.1467382;0.0033;360
2022-01-01T19:00:00Z;-0.000162986;0.20812204;0.45368588;27.44159;-0.16654783;0.00011675;0.62052536;0.0033;360
2022-01-01T20:00:00Z;-0.000160964;0.20828968;0.4626459;27.59607;-0.16127297;0.000146901;0.87188053;0.0033;360
2022-01-01T21:00:00Z;-7.43e-05;0.20862435;0.19576768;27.533112;-0.10141157;0.000489789;0.95122296;0.0033;360
2022-01-01T22:00:00Z;-4.19e-05;0.20855394;0.13213573;27.020416;-0.07465774;0.000801123;0.61931425;0.0033;360
2022-01-01T23:00:00Z;-1.5e-05;0.20911305;0.041766075;26.828766;-0.048906818;0.000559909;0.22565061;0.0033;360
2022-01-02T00:00:00Z;-3.99e-06;0.20951656;7.125e-05;26.537048;-0.034551356;0.000553949;0.7310017;0.0033;360
2022-01-02T01:00:00Z;-3.4e-06;0.20948346;3.47e-08;26.507446;-0.037928797;0.000223333;0.86745477;0.0033;360
2022-01-02T02:00:00Z;-3.2e-06;0.2094486;3.47e-08;26.200806;-0.037083082;0.000154614;0.8992386;0.0033;360
