source,apv-system,apv-system,apv-system,back-up-elec,back-up-water,biomass-bus,electricity-bus,electricity-bus,rain,rain-bus,solar-energy-bus,sun,water-bus-in,water-bus-out
target,biomass-bus,electricity-bus,water-bus-out,electricity-bus,water-bus-in,biomass-excess,demand,electricity-excess,rain-bus,apv-system,apv-system,solar-energy-bus,apv-system,water-excess
var_name,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,8.3333333,6.6666667,10.0,0.0,3.3333333,8.3333333,3.241487314,3.4251794,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 01:00:00,8.3333333,6.6666667,10.0,0.0,3.3333333,8.3333333,3.53720707,3.1294596,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 02:00:00,8.3333333,6.6666667,10.0,0.0,3.3333333,8.3333333,4.135785579,2.5308811,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 03:00:00,8.3333333,6.6666667,10.0,0.0,3.3333333,8.3333333,4.975337536,1.6913291,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 04:00:00,8.3333333,6.6666667,10.0,0.33003295,3.3333333,8.3333333,6.99669962,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 05:00:00,8.3333333,6.6666667,10.0,2.8110712,3.3333333,8.3333333,9.477737876,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 06:00:00,8.3333333,6.6666667,10.0,17.107712,3.3333333,8.3333333,23.77437834,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 07:00:00,8.3333333,6.6666667,10.0,31.027219,3.3333333,8.3333333,37.69388591,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 08:00:00,8.3333333,6.6666667,10.0,34.025239,3.3333333,8.3333333,40.69190565,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 09:00:00,8.3333333,6.6666667,10.0,31.09388,3.3333333,8.3333333,37.76054617,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 10:00:00,8.3333333,6.6666667,10.0,20.523647,3.3333333,8.3333333,27.19031324,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 11:00:00,8.3333333,6.6666667,10.0,21.088994,3.3333333,8.3333333,27.75566108,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 12:00:00,8.3333333,6.6666667,10.0,13.638445,3.3333333,8.3333333,20.30511148,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 13:00:00,8.3333333,6.6666667,10.0,8.191562,3.3333333,8.3333333,14.85822862,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 14:00:00,8.3333333,6.6666667,10.0,15.869802,3.3333333,8.3333333,22.53646834,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 15:00:00,8.3333333,6.6666667,10.0,18.29946,3.3333333,8.3333333,24.96612689,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 16:00:00,8.3333333,6.6666667,10.0,20.733012,3.3333333,8.3333333,27.39967875,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 17:00:00,8.3333333,6.6666667,10.0,16.286496,3.3333333,8.3333333,22.95316302,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 18:00:00,8.3333333,6.6666667,10.0,25.878416,3.3333333,8.3333333,32.5450827,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 19:00:00,8.3333333,6.6666667,10.0,27.507721,3.3333333,8.3333333,34.17438781,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 20:00:00,8.3333333,6.6666667,10.0,23.508776,3.3333333,8.3333333,30.17544284,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 21:00:00,8.3333333,6.6666667,10.0,11.482273,3.3333333,8.3333333,18.14893945,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 22:00:00,8.3333333,6.6666667,10.0,1.5589515,3.3333333,8.3333333,8.225618172,0.0,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-01 23:00:00,8.3333333,6.6666667,10.0,0.0,3.3333333,8.3333333,3.900406794,2.7662599,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-02 00:00:00,8.3333333,6.6666667,10.0,0.0,3.3333333,8.3333333,3.058272289,3.6083944,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
2022-01-02 01:00:00,8.3333333,6.6666667,10.0,0.0,3.3333333,8.3333333,3.638287835,3.0283788,5.0,5.0,1.6666667,1.6666667,3.3333333,10.0
