timeindex;permeate;elec
2022-01-01T00:00:00Z;0;0
2022-01-01T01:00:00Z;0;0
2022-01-01T02:00:00Z;0;0
2022-01-01T03:00:00Z;0;0
2022-01-01T04:00:00Z;0;0.005001983
2022-01-01T05:00:00Z;0;0.402346167
2022-01-01T06:00:00Z;0;1.104004217
2022-01-01T07:00:00Z;0.620147;0.3665122
2022-01-01T08:00:00Z;0.033568333;2.504004983
2022-01-01T09:00:00Z;0.00024;1.6666706
2022-01-01T10:00:00Z;0.075117;21.25000315
2022-01-01T11:00:00Z;0.025119;29.58333557
2022-01-01T12:00:00Z;0;4.5833343
2022-01-01T13:00:00Z;0;11.25000243
2022-01-01T14:00:00Z;0.526827667;5.0000038
2022-01-01T15:00:00Z;0.286863667;0.000004
2022-01-01T16:00:00Z;0.20033;0.0000028
2022-01-01T17:00:00Z;0.033688333;6.33E-07
2022-01-01T18:00:00Z;0;0
2022-01-01T19:00:00Z;0;5.00E-07
2022-01-01T20:00:00Z;0;0.02350305
2022-01-01T21:00:00Z;0;0.07925115
2022-01-01T22:00:00Z;0;0.023668617
2022-01-01T23:00:00Z;0;0.00200005
2022-01-02T00:00:00Z;0;0
2022-01-02T01:00:00Z;0;0
2022-01-02T02:00:00Z;0;0
2022-01-02T03:00:00Z;0;0
2022-01-02T04:00:00Z;0;0.013002233
2022-01-02T05:00:00Z;0;0.351179517
2022-01-02T06:00:00Z;0;1.072171467
2022-01-02T07:00:00Z;0.00024;0.43400995
2022-01-02T08:00:00Z;1.060081;0.021004267
2022-01-02T09:00:00Z;0.246869667;14.1666701
2022-01-02T10:00:00Z;0.025119;19.1666699
2022-01-02T11:00:00Z;0.025119;11.66666985
2022-01-02T12:00:00Z;0;1.25000215
2022-01-02T13:00:00Z;0;0.0000037
2022-01-02T14:00:00Z;0.00024;11.6666702
2022-01-02T15:00:00Z;0.193544333;19.1666699
2022-01-02T16:00:00Z;0.103683333;2.91666945
2022-01-02T17:00:00Z;0.073682333;3.83E-07
2022-01-02T18:00:00Z;0;0
2022-01-02T19:00:00Z;0;0.006500483
2022-01-02T20:00:00Z;0;0.0496686
2022-01-02T21:00:00Z;0;0.0685018
2022-01-02T22:00:00Z;0;0.037502217
2022-01-02T23:00:00Z;0;0.002250417
2022-01-03T00:00:00Z;0;0
2022-01-03T01:00:00Z;0;0
2022-01-03T02:00:00Z;0;0
2022-01-03T03:00:00Z;0;0
