source,apv-system,apv-system,apv-system,back-up-water,biomass-bus,electricity-bus,solar-energy-bus,sun,water-bus-in,water-bus-out
target,biomass-bus,electricity-bus,water-bus-out,water-bus-in,biomass-excess,electricity-excess,apv-system,solar-energy-bus,apv-system,water-excess
var_name,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08
2022-01-01 01:00:00,3.2e-08,3.2e-08,3.2e-08,170.94119,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.94119,3.2e-08
2022-01-01 02:00:00,3.2e-08,3.2e-08,3.2e-08,170.65298,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.65298,3.2e-08
2022-01-01 03:00:00,3.2e-08,3.2e-08,3.2e-08,169.47915,3.2e-08,3.2e-08,3.2e-08,3.2e-08,169.47915,3.2e-08
2022-01-01 04:00:00,3.2e-08,3.2e-08,3.2e-08,168.09166,3.2e-08,3.2e-08,3.2e-08,3.2e-08,168.09166,3.2e-08
2022-01-01 05:00:00,3.2e-08,3.2e-08,3.2e-08,166.69401,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.69401,3.2e-08
2022-01-01 06:00:00,3.2e-08,3.2e-08,3.2e-08,166.37551,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.37551,3.2e-08
2022-01-01 07:00:00,3.2e-08,3.2e-08,3.2e-08,166.10945,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.10945,3.2e-08
2022-01-01 08:00:00,5.05296,445.4895,3.2e-05,166815.84,5.05296,445.4895,2271.8016,2271.8016,166815.84,3.2e-05
2022-01-01 09:00:00,137.79728,8074.6023,3.2e-05,177150.6,137.79728,8074.6023,42182.656,42182.655999999995,177150.6,3.2e-05
2022-01-01 10:00:00,464.6279,18848.787,3.2e-05,194944.47,464.6279,18848.787,101917.4,101917.4016,194944.47,3.2e-05
