timeindex,ghi,t_air,e,tp,windspeed,t_dp,cum_temp,f_temp,f_heat,pv_power,rad_net,g,et_p,tp_ground,runoff,deep_drain,et_a,irrigation,swc,f_drought,delta_i50b,f_solar,biomass_gen,electricity_gen,water_harvest,ghi_kW,cum_temp_base_year,cum_temp_extension,cum_temp_cache
2022-01-01T00:00:00Z,1e-10,16.36783,1e-10,1e-10,2.11893,2.19788,541.0065295833,0.272989375,1.0,1e-10,1e-10,1e-10,0.0603567728,1e-10,0.4938888889,1e-10,1e-10,1e-10,1500.0,1e-10,0.625,0.2390490455,1e-10,1e-10,1e-10,1e-10,1e-10,0.1819929167,540.8245366667
2022-01-01T01:00:00Z,1e-10,16.34314,1e-10,1e-10,2.42896,2.24634,541.18749375,0.27144625,1.0,1e-10,1e-10,1e-10,0.0638208468,1e-10,0.4938888889,1e-10,0.0638208468,0.5577097356,1500.0,1.0,0.625,0.2393729305,1e-10,1e-10,1e-10,1e-10,1e-10,0.3629570833,540.8245366667
2022-01-01T02:00:00Z,1e-10,15.45224,1e-10,1e-10,2.79072,2.20529,541.3313370833,0.215765,1.0,1e-10,1e-10,1e-10,0.0629202025,1e-10,0.4938888889,1e-10,0.0629202025,0.5568090913,1500.0,1.0,0.625,0.239630585,1e-10,1e-10,1e-10,1e-10,1e-10,0.5068004167,540.8245366667
2022-01-01T03:00:00Z,1e-10,14.47086,1e-10,1e-10,2.95563,2.11841,541.4342895833,0.15442875,1.0,1e-10,1e-10,1e-10,0.0592519687,1e-10,0.4938888889,1e-10,0.0592519687,0.5531408575,1500.0,1.0,0.625,0.239815108,1e-10,1e-10,1e-10,1e-10,1e-10,0.6097529167,540.8245366667
2022-01-01T04:00:00Z,1e-10,13.55655,1e-10,1e-10,2.92501,1.89487,541.4991458333,0.097284375,1.0,1e-10,1e-10,1e-10,0.0549160554,1e-10,0.4938888889,1e-10,0.0549160554,0.5488049442,1500.0,1.0,0.625,0.239931399,1e-10,1e-10,1e-10,1e-10,1e-10,0.6746091667,540.8245366667
2022-01-01T05:00:00Z,1e-10,12.61884,1e-10,1e-10,2.96934,1.81061,541.5249308333,0.0386775,1.0,1e-10,1e-10,1e-10,0.0505484168,1e-10,0.4938888889,1e-10,0.0505484168,0.5444373056,1500.0,1.0,0.625,0.2399776433,1e-10,1e-10,1e-10,1e-10,1e-10,0.7003941667,540.8245366667
2022-01-01T06:00:00Z,1e-10,12.18857,1e-10,1e-10,3.06556,1.58621,541.5327879167,0.011785625,1.0,1e-10,1e-10,1e-10,0.049553111,1e-10,0.4938888889,1e-10,0.049553111,0.5434419998,1500.0,1.0,0.625,0.2399917358,1e-10,1e-10,1e-10,1e-10,1e-10,0.70825125,540.8245366667
2022-01-01T07:00:00Z,1e-10,11.75198,1e-10,1e-10,3.09529,1.19284,541.5327879167,1e-10,1.0,1e-10,1e-10,1e-10,0.0487216587,1e-10,0.4938888889,1e-10,0.0487216587,0.5426105475,1500.0,1.0,0.625,0.2399917358,1e-10,1e-10,1e-10,1e-10,1e-10,0.70825125,540.8245366667
2022-01-01T08:00:00Z,7.09938,11.89941,1e-10,1e-10,2.98771,0.87979,541.5327879167,1e-10,1.0,4.1098141565,2.1334856092,0.2133485609,0.050929132,1e-10,0.4938888889,1e-10,0.050929132,0.5448180208,1500.0,1.0,0.625,0.2399917358,1e-10,0.0013921547,1e-10,0.00709938,1e-10,0.70825125,540.8245366667
2022-01-01T09:00:00Z,131.8208,14.63348,1e-10,1e-10,2.5346,0.75974,541.64251625,0.1645925,1.0,74.4913499161,39.6144141875,3.9614414187,0.0832252526,1e-10,0.4938888889,1e-10,0.0832252526,0.5771141414,1500.0,1.0,0.625,0.2401886028,0.0080541578,0.0252331323,1e-10,0.1318208,1e-10,0.8179795833,540.8245366667
2022-01-01T10:00:00Z,318.49188,17.98889,1e-10,1e-10,1.72102,0.48337,541.8920533333,0.374305625,1.0,173.8873969072,95.7122794708,9.5712279471,0.1388310959,1e-10,0.4938888889,1e-10,0.1388310959,0.6327199847,1500.0,1.0,0.625,0.2406367024,0.0443363913,0.0589024591,1e-10,0.31849188,1e-10,1.0675166667,540.8245366667
2022-01-01T11:00:00Z,479.39014,20.77423,1e-10,1e-10,0.74802,1e-10,542.25764625,0.548389375,1.0,253.9375346316,144.0649697418,14.4064969742,0.2019376463,1e-10,0.4938888889,1e-10,0.2019376463,0.6958265351,1500.0,1.0,0.625,0.241294203,0.0980389775,0.0860185701,1e-10,0.47939014,1e-10,1.4331095833,540.8245366667
2022-01-01T12:00:00Z,587.8257,22.28394,1e-10,1e-10,1.08641,1e-10,542.68614375,0.64274625,1.0,305.3842200008,176.6517177094,17.6651717709,0.2395133552,1e-10,0.4938888889,1e-10,0.2395133552,0.733402244,1500.0,1.0,0.625,0.242066341,0.1413501529,0.1034455736,1e-10,0.5878257,1e-10,1.8616070833,540.8245366667
2022-01-01T13:00:00Z,635.40265,22.90909,1e-10,1e-10,2.20899,1e-10,543.1406891667,0.681818125,1.0,327.308272347,190.9494082338,19.0949408234,0.2453276326,1e-10,0.4938888889,1e-10,0.2453276326,0.7392165214,1500.0,1.0,0.625,0.2428871917,0.1626282292,0.1108721072,1e-10,0.63540265,1e-10,2.3161525,540.8245366667
2022-01-01T14:00:00Z,614.18353,23.23114,1e-10,1e-10,3.59018,1e-10,543.6086533333,0.70194625,1.0,316.8138412386,184.5726982732,18.4572698273,0.2358573119,1e-10,0.4938888889,1e-10,0.2358573119,0.7297462007,1500.0,1.0,0.625,0.2437341819,0.1624023167,0.1073172331,1e-10,0.61418353,1e-10,2.7841166667,540.8245366667
2022-01-01T15:00:00Z,527.4098,22.81924,1e-10,1e-10,4.76364,2.72266,544.059455,0.6762025,1.0,275.4820757063,158.4957022239,15.8495702224,0.206152308,1e-10,0.4938888889,1e-10,0.206152308,0.7000411968,1500.0,1.0,0.625,0.2445519358,0.1347937725,0.0933165484,1e-10,0.5274098,1e-10,3.2349183333,540.8245366667
2022-01-01T16:00:00Z,384.07816,21.75308,1e-10,1e-10,4.93121,5.42645,544.4658333333,0.6095675,1.0,205.0483138003,115.4220829383,11.5422082938,0.1641881909,1e-10,0.4938888889,1e-10,0.1641881909,0.6580770797,1500.0,1.0,0.625,0.2452906405,0.0887556787,0.0694578798,1e-10,0.38407816,1e-10,3.6412966667,540.8245366667
2022-01-01T17:00:00Z,202.34027,20.67804,1e-10,1e-10,3.83138,7.20773,544.8274183333,0.5423775,1.0,110.8680629076,60.8067259687,6.0806725969,0.1183107192,1e-10,0.4938888889,1e-10,0.1183107192,0.612199608,1500.0,1.0,0.625,0.2459491427,0.0417160384,0.037555347,1e-10,0.20234027,1e-10,4.0028816667,540.8245366667
2022-01-01T18:00:00Z,35.51271,18.72415,1e-10,1e-10,2.23517,9.70636,545.10759125,0.420259375,1.0,19.9881743236,10.6721792225,1.0672179223,0.0556003617,1e-10,0.4938888889,1e-10,0.0556003617,0.5494892505,1500.0,1.0,0.625,0.2464601711,0.0056848856,0.006770776,1e-10,0.03551271,1e-10,4.2830545833,540.8245366667
2022-01-01T19:00:00Z,1e-10,19.34549,1e-10,1e-10,1.0114,9.30774,545.4136533333,0.459093125,1.0,1e-10,1e-10,1e-10,0.0335304456,1e-10,0.4938888889,1e-10,0.0335304456,0.5274193344,1500.0,1.0,0.625,0.2470192086,1e-10,1e-10,1e-10,1e-10,1e-10,4.5891166667,540.8245366667
2022-01-01T20:00:00Z,1e-10,18.099,1e-10,1e-10,0.6954,9.08203,545.6677783333,0.3811875,1.0,1e-10,1e-10,1e-10,0.0233163622,1e-10,0.4938888889,1e-10,0.0233163622,0.517205251,1500.0,1.0,0.625,0.2474840049,1e-10,1e-10,1e-10,1e-10,1e-10,4.8432416667,540.8245366667
2022-01-01T21:00:00Z,1e-10,15.98123,1e-10,1e-10,1.43093,8.75763,545.8336629167,0.248826875,1.0,1e-10,1e-10,1e-10,0.0300734877,1e-10,0.4938888889,1e-10,0.0300734877,0.5239623765,1500.0,1.0,0.625,0.2477877143,1e-10,1e-10,1e-10,1e-10,1e-10,5.00912625,540.8245366667
2022-01-01T22:00:00Z,1e-10,14.29623,1e-10,1e-10,1.59258,9.16061,545.9293391667,0.143514375,1.0,1e-10,1e-10,1e-10,0.0229614934,1e-10,0.4938888889,1e-10,0.0229614934,0.5168503822,1500.0,1.0,0.625,0.2479629926,1e-10,1e-10,1e-10,1e-10,1e-10,5.1048025,540.8245366667
