From,To,Aggregated Flow
battery-storage,elec-bus,0.0
elec-bus,battery-storage,0.0
elec-bus,demand,864.0930000000001
elec-bus,electricity-excess,0.0
elec-shortage,elec-bus,0.0
gas,gas-bus,1800.19375
gas-bus,gas-pp,1800.19375
gas-pp,elec-bus,864.0930000000001
hydro,elec-bus,0.0
pv,elec-bus,0.0
wind,elec-bus,0.0
