bus,direction,asset,carrier,facade_type,Capacity,Expandable,Investments
biomass-bus,in,biomass-excess,solar,excess,,,
biomass-bus,out,apv-system,solar,,320.0,0.0,
electricity-bus,in,demand,solar,load,,,
electricity-bus,in,electricity-excess,solar,excess,,,
electricity-bus,out,apv-system,solar,,320.0,0.0,
electricity-bus,out,back-up-elec,solar,dispatchable,0.0,1.0,51.44214
solar-energy-bus,in,apv-system,solar,,320.0,0.0,
solar-energy-bus,out,sun,solar,volatile,320.0,0.0,
water-bus-in,in,apv-system,solar,,320.0,0.0,
water-bus-in,out,back-up-water,solar,dispatchable,0.0,1.0,74929.311
water-bus-out,in,water-excess,solar,excess,,,
water-bus-out,out,apv-system,solar,,320.0,0.0,
