timeindex,time,pev,vwc_rzd,ghi,pv_profile,t_air,e,tp,windspeed,wind_turbine,ac-discharge,river-flow,cf_aware,river-water-source
2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,-0.00000276,0.20640403,0,0,26.494812,-0.03578198,0.000755194,0.97473514,0.013,0.0033,0.993033968,0.1,1.00
2022-01-01T01:00:00Z,2022-01-01T01:00:00Z,-0.000000788,0.20657344,0,0,26.293396,-0.023573332,0.000143396,0.45877343,0.006,0.0033,0.593617135,0.1,1.00
2022-01-01T02:00:00Z,2022-01-01T02:00:00Z,-0.000000203,0.20660242,0,0,26.173248,-0.020033257,4.10E-05,0.90518606,0.004,0.0033,0.526767152,0.1,1.00
2022-01-01T03:00:00Z,2022-01-01T03:00:00Z,-0.000000101,0.20682344,0,0,26.003113,-0.020260952,0.000442809,0.6529405,0.002,0.0033,0.789091119,0.1,1.00
2022-01-01T04:00:00Z,2022-01-01T04:00:00Z,-0.00000169,0.20712516,0,0,26.241852,-0.02026638,0.000163029,0.70657927,0.005,0.0033,0.606434684,0.1,1.00
2022-01-01T05:00:00Z,2022-01-01T05:00:00Z,-0.00000218,0.20717762,0,0,25.929596,-0.025085872,3.47E-05,0.95286155,0.014,0.0033,0.522654151,0.1,1.00
2022-01-01T06:00:00Z,2022-01-01T06:00:00Z,-0.00000249,0.20716684,0,0,25.636383,-0.032502126,0.00011675,1.1197346,0.042,0.0033,0.576221098,0.1,1.00
2022-01-01T07:00:00Z,2022-01-01T07:00:00Z,-0.0000026,0.2071602,0,0,25.871002,-0.042558547,0.000132176,1.5757734,0.071,0.0033,0.586292076,0.1,1.00
2022-01-01T08:00:00Z,2022-01-01T08:00:00Z,-0.00000247,0.2071993,0,0,25.238678,-0.05086389,0.000374792,1.6158085,0.092,0.0033,0.744685719,0.1,1.00
2022-01-01T09:00:00Z,2022-01-01T09:00:00Z,-0.00000118,0.20727712,0,0,25.01065,-0.05037598,0.000183715,1.3233926,0.103,0.0033,0.619939692,0.1,1.00
2022-01-01T10:00:00Z,2022-01-01T10:00:00Z,-0.00000165,0.20812492,0,0,24.808716,-0.049915165,0.000352003,1.574277,0.102,0.0033,0.729807753,0.1,1.00
2022-01-01T11:00:00Z,2022-01-01T11:00:00Z,-0.00000236,0.20822275,0,0.012,24.838318,-0.053097434,0.000567974,1.2210199,0.094,0.0033,0.870806012,0.1,1.00
2022-01-01T12:00:00Z,2022-01-01T12:00:00Z,-0.00000473,0.20827015,0.01,0.174,24.661072,-0.05838857,0.000885968,1.6579899,0.075,0.0033,1.078410738,0.1,1.00
2022-01-01T13:00:00Z,2022-01-01T13:00:00Z,-0.0000215,0.20827085,0.08,0.364,24.801971,-0.07592089,0.000610746,1.8656665,0.056,0.0033,0.898730027,0.1,1.00
2022-01-01T14:00:00Z,2022-01-01T14:00:00Z,-0.0000482,0.20824435,0.18,0.522,25.760956,-0.10511971,0.00036147,2.3761458,0.034,0.0033,0.735988353,0.1,1.00
2022-01-01T15:00:00Z,2022-01-01T15:00:00Z,-0.0000568,0.20822175,0.21,0.631,25.662994,-0.113885865,0.000200894,2.3962855,0.013,0.0033,0.631155128,0.1,1.00
2022-01-01T16:00:00Z,2022-01-01T16:00:00Z,-0.0000668,0.20818615,0.23,0.685,25.967712,-0.11768615,9.68E-05,2.0288205,0,0.0033,0.563196593,0.1,1.00
2022-01-01T17:00:00Z,2022-01-01T17:00:00Z,-0.000100116,0.20814523,0.34,0.693,26.778687,-0.13449201,0.000103427,1.597217,0,0.0033,0.567523079,0.1,1.00
2022-01-01T18:00:00Z,2022-01-01T18:00:00Z,-0.000177224,0.2081343,0.53,0.652,27.14978,-0.19120908,0.000146551,1.1467382,0.001,0.0033,0.5956769,0.1,1.00
2022-01-01T19:00:00Z,2022-01-01T19:00:00Z,-0.000162986,0.20812204,0.45,0.564,27.44159,-0.16654783,0.00011675,0.62052536,0.01,0.0033,0.576221098,0.1,1.00
2022-01-01T20:00:00Z,2022-01-01T20:00:00Z,-0.000160964,0.20828968,0.46,0.426,27.59607,-0.16127297,0.000146901,0.87188053,0.021,0.0033,0.5959054,0.1,1.00
2022-01-01T21:00:00Z,2022-01-01T21:00:00Z,-0.0000743,0.20862435,0.2,0.245,27.533112,-0.10141157,0.000489789,0.95122296,0.025,0.0033,0.819762358,0.1,1.00
2022-01-01T22:00:00Z,2022-01-01T22:00:00Z,-0.0000419,0.20855394,0.13,0.054,27.020416,-0.07465774,0.000801123,0.61931425,0.024,0.0033,1.023019054,0.1,1.00
2022-01-01T23:00:00Z,2022-01-01T23:00:00Z,-0.000015,0.20911305,0.04,0,26.828766,-0.048906818,0.000559909,0.22565061,0.017,0.0033,0.865540717,0.1,1.00
2022-01-02T00:00:00Z,2022-01-02T00:00:00Z,-0.00000399,0.20951656,0,0,26.537048,-0.034551356,0.000553949,0.7310017,0.01,0.0033,0.861649687,0.1,1.00
2022-01-02T01:00:00Z,2022-01-02T01:00:00Z,-0.0000034,0.20948346,0,0,26.507446,-0.037928797,0.000223333,0.86745477,0.006,0.0033,0.645804595,0.1,1.00
2022-01-02T02:00:00Z,2022-01-02T02:00:00Z,-0.0000032,0.2094486,0,0,26.200806,-0.037083082,0.000154614,0.8992386,0.004,0.0033,0.600940889,0.1,1.00
2022-01-02T03:00:00Z,2022-01-02T03:00:00Z,-0.00000413,0.20957917,0,0,25.85852,-0.039170265,0.000308178,0.95442224,0.003,0.0033,0.701196278,0.1,1.00
2022-01-02T04:00:00Z,2022-01-02T04:00:00Z,-0.00000366,0.20980728,0,0,25.485748,-0.038882937,0.000622316,1.0939549,0.002,0.0033,0.906283587,0.1,1.00
2022-01-02T05:00:00Z,2022-01-02T05:00:00Z,-0.00000219,0.20985918,0,0,25.227417,-0.030230628,0.000383207,0.88177925,0.002,0.0033,0.750179514,0.1,1.00
2022-01-02T06:00:00Z,2022-01-02T06:00:00Z,-0.00000252,0.20982891,0,0,25.300415,-0.03040953,0.000721887,0.9551422,0.008,0.0033,0.971289248,0.1,1.00
2022-01-02T07:00:00Z,2022-01-02T07:00:00Z,-0.00000421,0.20978837,0,0,25.069763,-0.045111943,0.000520292,1.0234774,0.016,0.0033,0.839676467,0.1,1.00
2022-01-02T08:00:00Z,2022-01-02T08:00:00Z,-0.00000358,0.20999396,0,0,24.493835,-0.045984764,0.000774828,1.7171077,0.025,0.0033,1.00585217,0.1,1.00
2022-01-02T09:00:00Z,2022-01-02T09:00:00Z,-0.00000362,0.2101371,0,0,24.555847,-0.052945644,0.001194848,2.0666957,0.031,0.0033,1.280065322,0.1,1.00
2022-01-02T10:00:00Z,2022-01-02T10:00:00Z,-0.00000315,0.21059015,0,0,24.979645,-0.058177147,0.001733721,1.784786,0.032,0.0033,1.631872532,0.1,1.00
2022-01-02T11:00:00Z,2022-01-02T11:00:00Z,-0.00000231,0.21102332,0,0.013,25.184998,-0.06111547,0.002358491,2.3296711,0.035,0.0033,2.03975823,0.1,1.00
2022-01-02T12:00:00Z,2022-01-02T12:00:00Z,-0.00000438,0.2114532,0.01,0.179,24.720612,-0.071654364,0.003068809,3.0406222,0.036,0.0033,2.503494571,0.1,1.00
2022-01-02T13:00:00Z,2022-01-02T13:00:00Z,-0.0000156,0.2115667,0.05,0.369,24.809235,-0.08532674,0.003084586,3.3305275,0.035,0.0033,2.513794702,0.1,1.00
2022-01-02T14:00:00Z,2022-01-02T14:00:00Z,-0.0000347,0.21157748,0.11,0.519,25.426208,-0.11722535,0.002206331,3.4983945,0.026,0.0033,1.940419453,0.1,1.00
2022-01-02T15:00:00Z,2022-01-02T15:00:00Z,-0.0000479,0.21156982,0.15,0.617,25.542938,-0.12837686,0.00114927,3.7879453,0.016,0.0033,1.250309389,0.1,1.00
2022-01-02T16:00:00Z,2022-01-02T16:00:00Z,-0.0000646,0.21153541,0.18,0.679,25.772888,-0.13924645,0.000438602,3.5668952,0.012,0.0033,0.786344548,0.1,1.00
2022-01-02T17:00:00Z,2022-01-02T17:00:00Z,-0.00010724,0.21153043,0.28,0.691,26.516052,-0.17204498,0.000156017,3.376142,0.018,0.0033,0.601856848,0.1,1.00
2022-01-02T18:00:00Z,2022-01-02T18:00:00Z,-0.000102837,0.21148083,0.26,0.654,26.610321,-0.15804733,0.000134981,2.6234436,0.041,0.0033,0.588123341,0.1,1.00
2022-01-02T19:00:00Z,2022-01-02T19:00:00Z,-0.000106542,0.21144128,0.27,0.566,26.488647,-0.14396836,0.000398633,1.6431744,0.075,0.0033,0.760250492,0.1,1.00
2022-01-02T20:00:00Z,2022-01-02T20:00:00Z,-0.0000689,0.21138632,0.2,0.425,26.145233,-0.09854916,0.000267859,0.81116354,0.093,0.0033,0.674873722,0.1,1.00
2022-01-02T21:00:00Z,2022-01-02T21:00:00Z,-0.0000579,0.21132867,0.17,0.246,25.967712,-0.092629164,0.000732054,1.6845268,0.092,0.0033,0.977926849,0.1,1.00
2022-01-02T22:00:00Z,2022-01-02T22:00:00Z,-0.0000198,0.21167426,0.05,0.054,26.006805,-0.07584498,0.000763258,2.2978077,0.078,0.0033,0.99829861,0.1,1.00
2022-01-02T23:00:00Z,2022-01-02T23:00:00Z,-0.00000692,0.21171556,0.02,0,26.097351,-0.07441377,0.000792358,3.0373988,0.056,0.0033,1.01729676,0.1,1.00
2022-01-03T00:00:00Z,2022-01-03T00:00:00Z,-0.00000359,0.21172273,0,0,26.144684,-0.08275165,0.000787099,3.1358821,0.033,0.0033,1.013863383,0.1,1.00
2022-01-03T01:00:00Z,2022-01-03T01:00:00Z,-0.00000357,0.21199706,0,0,26.145386,-0.085039414,0.001250243,3.2934887,0.018,0.0033,1.316230356,0.1,1.00
2022-01-03T02:00:00Z,2022-01-03T02:00:00Z,-0.00000345,0.21243446,0,0,25.735016,-0.08709949,0.001828734,3.4310162,0.012,0.0033,1.693902469,0.1,1.00
2022-01-03T03:00:00Z,2022-01-03T03:00:00Z,-0.00000264,0.21294692,0,0,25.266083,-0.08621041,0.002341663,3.5620224,0.007,0.0033,2.028771947,0.1,1.00
2022-01-03T04:00:00Z,2022-01-03T04:00:00Z,-0.00000239,0.21346493,0,0,25.164703,-0.086085714,0.002496278,3.6583505,0.005,0.0033,2.129713489,0.1,1.00
2022-01-03T05:00:00Z,2022-01-03T05:00:00Z,-0.00000213,0.2138847,0,0,24.905151,-0.088368066,0.002710495,3.7926998,0.006,0.0033,2.269566636,0.1,1.00
2022-01-03T06:00:00Z,2022-01-03T06:00:00Z,-0.00000176,0.21416429,0,0,24.870544,-0.082914285,0.002540453,3.4950876,0.006,0.0033,2.158553463,0.1,1.00
2022-01-03T07:00:00Z,2022-01-03T07:00:00Z,-0.00000452,0.21486282,0,0,24.859589,-0.0791411,0.002022616,3.7136118,0.008,0.0033,1.820479761,0.1,1.00
2022-01-03T08:00:00Z,2022-01-03T08:00:00Z,-0.00000382,0.21562807,0,0,24.662292,-0.08160234,0.000685775,3.8212285,0.014,0.0033,0.947713263,0.1,1.00
2022-01-03T09:00:00Z,2022-01-03T09:00:00Z,-0.00000353,0.21653405,0,0,24.381744,-0.079021834,0.00031554,3.9726918,0.026,0.0033,0.706002614,0.1,1.00
2022-01-03T10:00:00Z,2022-01-03T10:00:00Z,-0.00000262,0.21416229,0,0,25.207672,-0.06914975,0.000289947,2.5548258,0.039,0.0033,0.689294036,0.1,1.00
2022-01-03T11:00:00Z,2022-01-03T11:00:00Z,-0.00000249,0.21416825,0,0.003,25.381042,-0.06796249,0.000243668,1.5921831,0.05,0.0033,0.65908045,0.1,1.00
2022-01-03T12:00:00Z,2022-01-03T12:00:00Z,-0.00000333,0.21412781,0.01,0.074,25.391235,-0.06298037,0.000369183,1.1832964,0.048,0.0033,0.741023842,0.1,1.00
2022-01-03T13:00:00Z,2022-01-03T13:00:00Z,-0.000022,0.21411341,0.1,0.25,25.099548,-0.07709187,0.000868789,1.3399991,0.039,0.0033,1.067195301,0.1,1.00
2022-01-03T14:00:00Z,2022-01-03T14:00:00Z,-0.0000406,0.2140936,0.17,0.478,25.340729,-0.09356161,0.000961347,1.6166297,0.025,0.0033,1.127622474,0.1,1.00
2022-01-03T15:00:00Z,2022-01-03T15:00:00Z,-0.0000594,0.21406315,0.25,0.627,25.746002,-0.10952718,0.000672803,1.7437135,0.019,0.0033,0.939244397,0.1,1.00
2022-01-03T16:00:00Z,2022-01-03T16:00:00Z,-0.000109956,0.21402591,0.39,0.685,26.3815,-0.15464821,0.000429486,1.8355359,0.02,0.0033,0.7803931,0.1,1.00
2022-01-03T17:00:00Z,2022-01-03T17:00:00Z,-0.0000955,0.2139823,0.35,0.694,26.864685,-0.1420438,0.000384258,1.8176843,0.026,0.0033,0.750865667,0.1,1.00
