name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;profile;expandable;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;land_requirement;water_footprint;ghg_emissions;output_parameters;annuity
photovoltaics;volatile;energy;pv;0.0;537.3636363636364;dc-elec-bus;photovoltaics_moo_profile;pv_profile;True;500.0;20.0;25.0;0.0;9.0;0.035;0.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.035, ""land_requirement_factor"": 9.0, ""water_consumption_factor"": 0.0, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0.0, ""annuity"": 59.11}}";59.11
rainwater-harvesting;volatile;water;rainwater-harvesting;0.0;74.81818181818181;service-water-bus;rainwater-harvesting_moo_profile;tp;True;60.0;3.0;20.0;0.0;1.3;0.0;1.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 1.3, ""water_consumption_factor"": 1.0, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0.0, ""annuity"": 8.23}}";8.23
condensed-water;volatile;water;ac-discharge;1.0;0.0;service-water-bus;condensed-water_moo_profile;ac-discharge;False;0.0;0.0;20.0;0.0;0.0;0.0;1.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 1.0, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0.0, ""annuity"": 0.0}}";0.0
wind-turbine;volatile;energy;wind-turbine;0.0;2589.9090909090905;dc-elec-bus;wind-turbine_moo_profile;wind_turbine;True;1865.0;139.0;25.0;0.0;2.5;0.02;0.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.02, ""land_requirement_factor"": 2.5, ""water_consumption_factor"": 0.0, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0.0, ""annuity"": 284.89}}";284.89
