timeindex,cooking,drinking_water,electrical_appliances,service_water
2022-01-01T00:00:00Z,0,0,8557.75565,0
2022-01-01T01:00:00Z,0,0,23371.11012,0
2022-01-01T02:00:00Z,0,0,31976.11442,0
2022-01-01T03:00:00Z,0,0,41297.76132,0
2022-01-01T04:00:00Z,12.00066667,0,42565.53368,0
2022-01-01T05:00:00Z,73.00078333,3762.517,51679.88168,0
2022-01-01T06:00:00Z,78.0007,3745.842333,53808.70613,0
2022-01-01T07:00:00Z,17.00171667,4479.173667,55406.6785,6508.943
2022-01-01T08:00:00Z,0.0007,4912.495,52966.07075,9158.679
2022-01-01T09:00:00Z,7995.8981,0,52035.23858,10073.377
2022-01-01T10:00:00Z,122330.1951,4337.625,55432.7333,0
2022-01-01T11:00:00Z,308027.3399,3287.647,59011.89372,0
2022-01-01T12:00:00Z,131164.4519,4112.508,57865.23075,0
2022-01-01T13:00:00Z,5332.572783,0,54841.08155,0
2022-01-01T14:00:00Z,0,0,64117.84335,8248.631
2022-01-01T15:00:00Z,0,0,63823.66777,12328.017
2022-01-01T16:00:00Z,5504.882967,25.119,51027.76063,10114.32733
2022-01-01T17:00:00Z,131570.7745,25.119,52398.57472,9332.646667
2022-01-01T18:00:00Z,306456.5421,12.6,55378.82092,0
2022-01-01T19:00:00Z,126857.8982,12.6,66617.919,0
2022-01-01T20:00:00Z,5804.073167,12.6,75438.84635,0
2022-01-01T21:00:00Z,0,12.6,71545.16047,0
2022-01-01T22:00:00Z,0,12.6,58433.58395,0
2022-01-01T23:00:00Z,0,0,24232.08373,0
2022-01-02T00:00:00Z,0,0,6588.5912,0
2022-01-02T01:00:00Z,0,0,24554.43417,0
2022-01-02T02:00:00Z,0,0,36253.60235,0
2022-01-02T03:00:00Z,0,0,43321.086,0
2022-01-02T04:00:00Z,15.00035,0,46586.18925,0
2022-01-02T05:00:00Z,60.00066667,3412.528,55890.78443,0
2022-01-02T06:00:00Z,78.0007,3645.856333,57992.35923,0
