timeindex;drinking-water;electricity;service-water
2022-01-01T00:00:00Z;0.0;0.034005433;0.0
2022-01-01T01:00:00Z;0.0;0.071005833;0.0
2022-01-01T02:00:00Z;0.0;0.163003317;0.0
2022-01-01T03:00:00Z;0.0;0.127504317;0.0
2022-01-01T04:00:00Z;0.0;0.086506617;0.0
2022-01-01T05:00:00Z;0.0;0.1249339;0.0
2022-01-01T06:00:00Z;0.0;0.191517033;0.0
2022-01-01T07:00:00Z;0.050479;0.048340883;0.542448
2022-01-01T08:00:00Z;0.00048;0.350006317;0.37758
2022-01-01T09:00:00Z;0.00048;1.100006533;0.497484
2022-01-01T10:00:00Z;0.00048;1.3500071;0.0
2022-01-01T11:00:00Z;0.00048;1.225007183;0.0
2022-01-01T12:00:00Z;0.050479;1.12500725;0.0
2022-01-01T13:00:00Z;0.00048;1.57500695;0.0
2022-01-01T14:00:00Z;0.00048;2.1000066;0.37758
2022-01-01T15:00:00Z;0.00048;1.450007033;0.637372
2022-01-01T16:00:00Z;0.00048;0.37500775;0.467508
2022-01-01T17:00:00Z;0.00048;2.800006133;0.672344
2022-01-01T18:00:00Z;0.00048;2.350006433;0.0
2022-01-01T19:00:00Z;0.100478;2.40217555;0.0
2022-01-01T20:00:00Z;0.050479;3.722764817;0.0
2022-01-01T21:00:00Z;0.050479;1.46101285;0.0
2022-01-01T22:00:00Z;0.050479;0.197011217;0.0
2022-01-01T23:00:00Z;0.050479;0.009002017;0.0
2022-01-02T00:00:00Z;0.0;0.02150575;0.0
2022-01-02T01:00:00Z;0.0;0.017007433;0.0
2022-01-02T02:00:00Z;0.0;0.065006;0.0
2022-01-02T03:00:00Z;0.0;0.067505933;0.0
2022-01-02T04:00:00Z;0.0;0.061339633;0.0
2022-01-02T05:00:00Z;0.0;0.24459715;0.0
2022-01-02T06:00:00Z;0.0;0.279096383;0.0
2022-01-02T07:00:00Z;0.100478;0.047005367;0.3526
2022-01-02T08:00:00Z;0.00048;0.002001783;0.267668
2022-01-02T09:00:00Z;0.050479;3.75e-06;0.672344
2022-01-02T10:00:00Z;0.050479;0.750006683;0.0
