flow,value
biomass-cogeneration_to_ac-elec,2102527.4496199996
diesel-generator_to_ac-elec,0.0
grid_to_ac-elec,39079.04768864
hydro-power_to_ac-elec,839.50744471
inverter_to_ac-elec,81606.5540143831
wind-turbine_to_ac-elec,2007.507141775553
