source,ac-elec-bus,ac-elec-bus,battery-storage,battery-storage,biogas,biogas-bus,biomass-cogeneration,dc-elec-bus,dc-elec-bus,dc-elec-bus,diesel,diesel-bus,diesel-generator,drinking-water-bus,drinking-water-storage,drinking-water-storage,grid,hydro-power,inverter,pv-panel,wind-turbine
target,ac-electricity-excess,el_demand,nan,dc-elec-bus,biogas-bus,biomass-cogeneration,ac-elec-bus,battery-storage,dc-electricity-excess,inverter,diesel-bus,diesel-generator,ac-elec-bus,drinking-water-storage,nan,drinking-water-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,dc-elec-bus,ac-elec-bus
var_name,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,261.39246,19.7173,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.81013818
2022-01-01 01:00:00,250.53264,30.56695,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999745
2022-01-01 02:00:00,247.94675,33.133716666666665,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.78084864
2022-01-01 03:00:00,246.46315,34.6501,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.81362989
2022-01-01 04:00:00,248.68078,32.31705,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.69820784
2022-01-01 05:00:00,245.87382,35.00065,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57484902
2022-01-01 06:00:00,220.89757,60.03415,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.63209823
2022-01-01 07:00:00,227.22611,53.633833333333335,0.0,0.0,1121.1985,1121.1985,280.29962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.56032045
2022-01-01 08:00:00,212.48456,68.3335,0.22541244,0.0,1121.1985,1121.1985,280.29962,0.25045826,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.25045826,0.51844424
2022-01-01 09:00:00,239.30708,41.50076666666666,2.1010267,0.0,1121.1985,1121.1985,280.29962,2.0840159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0840159,0.50822675
2022-01-01 10:00:00,214.75485,66.00006666666667,5.8482463,0.0,1121.1985,1121.1985,280.29962,4.1635773,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,4.1635773,0.4552922
2022-01-01 11:00:00,210.66497,70.0,13.995649,0.0,1121.1985,1121.1985,280.29962,9.0526702,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9.0526702,0.36535072
2022-01-01 12:00:00,210.78584,69.83415,21.089729,0.0,1121.1985,1121.1985,280.29962,7.8823109,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7.8823109,0.32036827
