,Component name,Capacity,Optimized Capacity,Capacity Total,Maximum Capacity,unit
2,biomass-cogeneration,1.6,278.69962,280.29962002384184,inf,[kW]
3,diesel-generator,1.3,0.0,1.2999999523162842,inf,[kW]
4,inverter,1.2,341.01,342.2100000476837,inf,[kW]
5,wind-turbine,1.4,0.0,1.399999976158142,inf,[kW]
7,battery-storage,1.2,323.59653,323.59653,,[kWh]
11,pv-panel,1.1,245.08066,246.18066002384185,inf,[kW]
