kpi,value
total_annual_cost_moo,281527.154100661
total_variable_cost_moo,7229.6239155701105
total_upfront_investments,2294879.4505
land_requirement_additional,1432.0466231960363
land_requirement_total,1437.7141231999103
total_water_consumption,0.0
total_indirect_water_consumption,0.0
water_scarcity_footprint,0.0
ghg_emissions_total,1604046.7073787122
system_opex_total,51260.8146155701
