Component,Type,Carrier,Existing Capacity,Capacity Potential,Optimizable,Optimized Capacity,Total Capacity
gas-pp,conversion,gas,50,inf,False,,50.0
gas,dispatchable,gas,0,inf,True,88.395625,88.395625
hydro,volatile,hydro,0.0,inf,True,0.0,0.0
pv,volatile,solar,0.0,inf,True,0.0,0.0
wind,volatile,wind,0.0,inf,True,0.0,0.0
demand,load,,,,,,0.0
electricity-excess,excess,,,,,,0.0
