name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;efficiency;annuity;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;from_bus;to_bus;output_parameters;expandable
inverter;conversion;energy;energy_conversion;1.2;55.6;inf;inverter_mc_profile;0.0;0.94;55.6;350.0;15.0;12.5;0.0;0.15;0.0;0.0;dc-elec-bus;ac-elec-bus;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.15, ""water_consumption_factor"": 0.0, ""resource_cost"": 0.0, ""annuity"": 55.6}}";True
diesel-generator;conversion;energy;energy_conversion;1.3;85.39;inf;diesel-generator_mc_profile;0.0;0.35;85.39;750.0;15.0;17.5;0.0;0.075;0.7;0.0;diesel-bus;ac-elec-bus;"{""custom_attributes"": {""ghg_emission_factor"": 0.7, ""land_requirement_factor"": 0.075, ""water_consumption_factor"": 0.0, ""resource_cost"": 0.0, ""annuity"": 85.39}}";True
biomass-cogeneration;conversion;energy;energy_conversion;1.6;531.77;inf;biomass-cogeneration_mc_profile;0.0;0.25;531.77;5500.0;80.0;22.5;0.0;0.15;0.15;0.0;biogas-bus;ac-elec-bus;"{""custom_attributes"": {""ghg_emission_factor"": 0.15, ""land_requirement_factor"": 0.15, ""water_consumption_factor"": 0.0, ""resource_cost"": 0.0, ""annuity"": 531.77}}";True
