source,ac-elec-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,battery-storage,battery-storage,bottled-water,brine-bus,condensed-water,dc-elec-bus,dc-elec-bus,diesel,diesel-bus,diesel-generator,drinking-water-bus,drinking-water-bus,drinking-water-storage,drinking-water-storage,electricity-grid,groundwater,groundwater-bus,inverter,photovoltaics,precipitation,rainwater-harvesting,seawater-bus,seawater-source,service-water-bus,service-water-bus,service-water-bus,service-water-storage,service-water-storage,solar-resource,sw-ro,sw-ro,water pump,water-filtration-system,water-truck,wind-resource
target,elec-demand,electricity-excess,sw-ro,water pump,water-filtration-system,nan,dc-elec-bus,drinking-water-bus,brine-excess,service-water-bus,battery-storage,inverter,diesel-bus,diesel-generator,ac-elec-bus,drinking-water-demand,drinking-water-storage,nan,drinking-water-bus,ac-elec-bus,groundwater-bus,water pump,ac-elec-bus,dc-elec-bus,precipitation-bus,service-water-bus,sw-ro,seawater-bus,service-water-demand,service-water-storage,water-filtration-system,nan,service-water-bus,solar-bus,brine-bus,drinking-water-bus,drinking-water-bus,drinking-water-bus,service-water-bus,wind-bus
var_name,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,8.55775565,0.0,0.0,0.0,0.0,686.84577,9.5086076,0.0,-0.0,0.0033,0.0,9.5086174,0.0,0.0,0.0,0.0,-0.0,9.1575476,0.0,0.0,0.0,-0.0,8.5577557,9.7890202e-06,0.0,0.0,-0.0,0.0,0.0,0.016261498,0.0,0.0054204993,0.012961498,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00,23.37111012,0.0,0.0,0.0,0.0,658.6198,25.96789,0.0,-0.0,0.0033,0.0,25.9679,0.0,0.0,0.0,0.0,-0.0,9.1575476,0.0,0.0,0.0,-0.0,23.37111,9.7890202e-06,0.0,0.0,-0.0,0.0,0.0,0.016261498,0.0,0.008130749,0.012961498,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,31.97611442,0.0,0.0,0.0,0.0,620.00131,35.529006,0.0,-0.0,0.0033,0.0,35.529016,0.0,0.0,0.0,0.0,-0.0,9.1575476,0.0,0.0,0.0,-0.0,31.976114,9.7890202e-06,0.0,0.0,-0.0,0.0,0.0,0.016261498,0.0,0.010840999,0.012961498,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,41.29776132,0.0,0.0,0.0,0.0,570.1248,45.886392,0.0,-0.0,0.0033,0.0,45.886401,0.0,0.0,0.0,0.0,-0.0,9.1575476,0.0,0.0,0.0,-0.0,41.297761,9.7890202e-06,0.0,0.0,-0.0,0.0,0.0,0.016261498,0.0,0.013551248,0.012961498,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,42.56553368,0.0,0.0,0.0,0.0,518.71716,47.295028,0.0,-0.0,0.0033,0.0,47.295037,0.0,0.0,0.0,0.0,-0.0,9.1575476,0.0,0.0,0.0,-0.0,42.565534,9.7890202e-06,0.0,0.0,-0.0,0.0,0.0,0.016261498,0.0,0.016261498,0.012961498,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00,51.67988168,0.0,0.0,0.0,0.0,456.30186,57.422081,0.0,-0.0,0.0033,0.0,57.422091,0.0,0.0,0.0,3.762517,0.0,5.3182445,3.762517,0.0,0.0,-0.0,51.679882,9.7890202e-06,0.0,0.0,-0.0,0.0,3.762517,0.0,0.0,0.0,0.015936268,0.0,-0.0,-0.0,-0.0,0.0,3.7432807,0.0
2022-01-01 06:00:00,53.80870613,0.0,0.0,0.0,0.0,391.31551,59.787441,0.0,-0.0,0.0033,0.0,59.787451,0.0,0.0,0.0,3.745842333,0.0,1.4959564,3.7458423,0.0,0.0,-0.0,53.808706,9.7890202e-06,0.0,0.0,-0.0,0.0,3.745842333,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,3.7425423,0.0
2022-01-01 07:00:00,55.4066785,0.0,0.0,0.0,0.0,324.39924,61.562966,3.0131364,-0.0,0.0033,0.0,61.562976,0.0,0.0,0.0,4.479173667,0.0,0.0,1.4660373,0.0,0.0,-0.0,55.406678,9.7890202e-06,0.0,0.0,-0.0,0.0,4.479173667,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,4.4758737,0.0
2022-01-01 08:00:00,52.96607075,0.0,0.0,0.0,0.0,260.43057,58.85118,4.912495,-0.0,0.0033,0.0,58.85119,0.0,0.0,0.0,4.912495,0.0,0.0,0.0,0.0,0.0,-0.0,52.966071,9.7890202e-06,0.0,0.0,-0.0,0.0,4.912495,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,4.909195,0.0
2022-01-01 09:00:00,52.03523858,0.0,0.0,0.0,0.0,197.58609,57.816922,0.0,-0.0,0.0033,0.0,57.816932,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,52.035239,9.7890202e-06,0.0,0.0,-0.0,0.0,0.0,0.0033,0.0,0.003234,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
