timeindex,ghi-profile,tp-profile
2022-01-01T00:00:00Z,1e-10,1e-10
2022-01-01T01:00:00Z,1e-10,1e-10
2022-01-01T02:00:00Z,1e-10,1e-10
2022-01-01T03:00:00Z,1e-10,1e-10
2022-01-01T04:00:00Z,1e-10,1e-10
2022-01-01T05:00:00Z,1e-10,1e-10
2022-01-01T06:00:00Z,1e-10,1e-10
2022-01-01T07:00:00Z,1e-10,1e-10
2022-01-01T08:00:00Z,7.09938,1e-10
2022-01-01T09:00:00Z,131.8208,1e-10
2022-01-01T10:00:00Z,318.49188,1e-10
2022-01-01T11:00:00Z,479.39014,1e-10
2022-01-01T12:00:00Z,587.8257,1e-10
2022-01-01T13:00:00Z,635.40265,1e-10
2022-01-01T14:00:00Z,614.18353,1e-10
2022-01-01T15:00:00Z,527.4098,1e-10
2022-01-01T16:00:00Z,384.07816,1e-10
2022-01-01T17:00:00Z,202.34027,1e-10
2022-01-01T18:00:00Z,35.51271,1e-10
2022-01-01T19:00:00Z,1e-10,1e-10
2022-01-01T20:00:00Z,1e-10,1e-10
2022-01-01T21:00:00Z,1e-10,1e-10
2022-01-01T22:00:00Z,1e-10,1e-10
2022-01-01T23:00:00Z,1e-10,1e-10
2022-01-02T00:00:00Z,1e-10,1e-10
2022-01-02T01:00:00Z,1e-10,1e-10
2022-01-02T02:00:00Z,1e-10,1e-10
2022-01-02T03:00:00Z,1e-10,1e-10
2022-01-02T04:00:00Z,1e-10,1e-10
2022-01-02T05:00:00Z,1e-10,1e-10
2022-01-02T06:00:00Z,1e-10,1e-10
2022-01-02T07:00:00Z,1e-10,1e-10
2022-01-02T08:00:00Z,6.95708,1e-10
2022-01-02T09:00:00Z,130.96698,1e-10
2022-01-02T10:00:00Z,317.74875,1e-10
2022-01-02T11:00:00Z,479.88028,1e-10
2022-01-02T12:00:00Z,589.94446,1e-10
2022-01-02T13:00:00Z,637.69525,1e-10
2022-01-02T14:00:00Z,615.6065,1e-10
2022-01-02T15:00:00Z,529.67084,1e-10
2022-01-02T16:00:00Z,384.50507,1e-10
2022-01-02T17:00:00Z,203.70007,1e-10
2022-01-02T18:00:00Z,36.41396,1e-10
2022-01-02T19:00:00Z,1e-10,1e-10
