timeindex,ghi,t_air,e,tp,windspeed,t_dp,cum_temp,f_temp,f_heat,pv_power,rad_net,g,et_p,tp_ground,runoff,deep_drain,et_a,irrigation,swc,f_drought,delta_i50b,f_solar,biomass_gen,electricity_gen,water_harvest,ghi_kW,cum_temp_base_year,cum_temp_extension,cum_temp_cache
2022-01-01T00:00:00Z,1e-10,16.36783,1e-10,1e-10,2.11893,2.19788,0.1819929167,0.272989375,1,1e-10,1e-10,1e-10,0.0603567728,1e-10,0.4938888889,1e-10,1e-10,1e-10,1500.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.1819929167,0
2022-01-01T01:00:00Z,1e-10,16.34314,1e-10,1e-10,2.42896,2.24634,0.3629570833,0.27144625,1,1e-10,1e-10,1e-10,0.0638208468,1e-10,0.4938888889,1e-10,0.0638208468,0.5577097356,1500.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.3629570833,0
2022-01-01T02:00:00Z,1e-10,15.45224,1e-10,1e-10,2.79072,2.20529,0.5068004167,0.215765,1,1e-10,1e-10,1e-10,0.0629202025,1e-10,0.4938888889,1e-10,0.0629202025,0.5568090913,1500.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.5068004167,0
2022-01-01T03:00:00Z,1e-10,14.47086,1e-10,1e-10,2.95563,2.11841,0.6097529167,0.15442875,1,1e-10,1e-10,1e-10,0.0592519687,1e-10,0.4938888889,1e-10,0.0592519687,0.5531408575,1500.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.6097529167,0
2022-01-01T04:00:00Z,1e-10,13.55655,1e-10,1e-10,2.92501,1.89487,0.6746091667,0.097284375,1,1e-10,1e-10,1e-10,0.0549160554,1e-10,0.4938888889,1e-10,0.0549160554,0.5488049442,1500.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.6746091667,0
2022-01-01T05:00:00Z,1e-10,12.61884,1e-10,1e-10,2.96934,1.81061,0.7003941667,0.0386775,1,1e-10,1e-10,1e-10,0.0505484168,1e-10,0.4938888889,1e-10,0.0505484168,0.5444373056,1500.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.7003941667,0
2022-01-01T06:00:00Z,1e-10,12.18857,1e-10,1e-10,3.06556,1.58621,0.70825125,0.011785625,1,1e-10,1e-10,1e-10,0.049553111,1e-10,0.4938888889,1e-10,0.049553111,0.5434419998,1500.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.70825125,0
2022-01-01T07:00:00Z,1e-10,11.75198,1e-10,1e-10,3.09529,1.19284,0.70825125,1e-10,1,1e-10,1e-10,1e-10,0.0487216587,1e-10,0.4938888889,1e-10,0.0487216587,0.5426105475,1500.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,0,0.70825125,0
2022-01-01T08:00:00Z,7.09938,11.89941,1e-10,1e-10,2.98771,0.87979,0.70825125,1e-10,1,4.1098141565,2.1334856092,0.2133485609,0.050929132,1e-10,0.4938888889,1e-10,0.050929132,0.5448180208,1500.0,1.0,1e-10,1e-10,1e-10,0.0013921547,1e-10,0.00709938,0,0.70825125,0
2022-01-01T09:00:00Z,131.8208,14.63348,1e-10,1e-10,2.5346,0.75974,0.8179795833,0.1645925,1,74.4913499161,39.6144141875,3.9614414187,0.0832252526,1e-10,0.4938888889,1e-10,0.0832252526,0.5771141414,1500.0,1.0,1e-10,1e-10,1e-10,0.0252331323,1e-10,0.1318208,0,0.8179795833,0
