name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;resource_cost;profile;expandable;land_requirement_factor;ghg_emission_factor;water_consumption_factor;indirect_water_consumption_factor;land_requirement;ghg_emissions;water_footprint;output_parameters
seawater-source;dispatchable;water;source;0.0;0.0;seawater-bus;seawater-source_moo_profile;0.0;;True;0.0;0.0;1.0;1.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 1.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
solar-resource;dispatchable;energy;source;0.0;0.0;solar-bus;solar-resource_moo_profile;0.0;ghi;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
wind-resource;dispatchable;energy;source;0.0;0.0;wind-bus;wind-resource_moo_profile;0.0;windspeed;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
precipitation;dispatchable;water;source;0.0;0.0;precipitation-bus;precipitation_moo_profile;0.0;tp;True;0.0;0.0;1.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 1.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
diesel;dispatchable;energy;source;0.0;0.0;diesel-bus;diesel_moo_profile;0.1;;True;0.0;0.7;0.0;0.0225;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.7, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.1}}"
groundwater;dispatchable;water;source;0.0;0.0;groundwater-bus;groundwater_moo_profile;0.0;;True;0.0;0.0;1.0;0.1;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 1.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 0.0}}"
bottled-water;dispatchable;water;source;0.0;0.0;drinking-water-bus;bottled-water_moo_profile;62.2;;False;0.0;0.8;1.0;4.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.8, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 1.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": 62.2}}"
river-flow;dispatchable;water;river;1.0;0.0;river-flow-bus;river-flow_moo_profile;;river-flow;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": 0.0, ""water_footprint"": 0.0, ""ghg_emissions"": 0.0, ""resource_cost"": NaN}}"
