name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;profile;expandable;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;land_requirement;water_footprint;ghg_emissions;output_parameters;annuity
photovoltaics;volatile;energy;pv;3.87;214.94545454545454;dc-elec-bus;photovoltaics_moo_profile;pv_profile;True;500.0;20.0;25.0;0.0;9.0;0.0;0.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 9.0, ""water_consumption_factor"": 0.0, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0.0, ""annuity"": 59.11}}";59.11
rainwater-harvesting;volatile;water;rainwater-harvesting;0.0;29.927272727272726;service-water-bus;rainwater-harvesting_moo_profile;tp;True;60.0;3.0;20.0;0.0;1.3;0.0;1.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 1.3, ""water_consumption_factor"": 1.0, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0.0, ""annuity"": 8.23}}";8.23
wind-turbine;volatile;energy;wind-turbine;0.0;1035.9636363636362;dc-elec-bus;wind-turbine_moo_profile;wind_turbine;True;1865.0;139.0;25.0;0.0;2.5;0.0;0.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 2.5, ""water_consumption_factor"": 0.0, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": 0.0, ""annuity"": 284.89}}";284.89
river-water-uptake;volatile;water;water-uptake-and-pipe;1.0;18812.363636363632;service-water-bus;river-water-uptake_moo_profile;river-water-source;False;15000.0;4000.0;25.0;;0.1;0.0;1.0;;;;"{""custom_attributes"": {""ghg_emission_factor"": 0.0, ""land_requirement_factor"": 0.0, ""water_consumption_factor"": NaN, ""water_footprint"": NaN, ""ghg_emissions"": NaN, ""resource_cost"": NaN}}";5173.4
