bus,direction,asset,carrier,facade_type,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00,2022-01-02 17:00:00,2022-01-02 18:00:00,2022-01-02 19:00:00,2022-01-02 20:00:00,2022-01-02 21:00:00,2022-01-02 22:00:00,2022-01-02 23:00:00,2022-01-03 00:00:00,2022-01-03 01:00:00,2022-01-03 02:00:00,2022-01-03 03:00:00,2022-01-03 04:00:00,2022-01-03 05:00:00,2022-01-03 06:00:00,2022-01-03 07:00:00,2022-01-03 08:00:00,2022-01-03 09:00:00,2022-01-03 10:00:00,2022-01-03 11:00:00,2022-01-03 12:00:00,2022-01-03 13:00:00,2022-01-03 14:00:00,2022-01-03 15:00:00,2022-01-03 16:00:00,2022-01-03 17:00:00,2022-01-03 18:00:00,2022-01-03 19:00:00,2022-01-03 20:00:00,2022-01-03 21:00:00,2022-01-03 22:00:00,2022-01-03 23:00:00,2022-01-04 00:00:00,2022-01-04 01:00:00,2022-01-04 02:00:00,2022-01-04 03:00:00,2022-01-04 04:00:00,2022-01-04 05:00:00,2022-01-04 06:00:00,2022-01-04 07:00:00,2022-01-04 08:00:00,2022-01-04 09:00:00,2022-01-04 10:00:00,2022-01-04 11:00:00,2022-01-04 12:00:00,2022-01-04 13:00:00,2022-01-04 14:00:00,2022-01-04 15:00:00,2022-01-04 16:00:00,2022-01-04 17:00:00,2022-01-04 18:00:00,2022-01-04 19:00:00,2022-01-04 20:00:00,2022-01-04 21:00:00,2022-01-04 22:00:00,2022-01-04 23:00:00,2022-01-05 00:00:00,2022-01-05 01:00:00,2022-01-05 02:00:00,2022-01-05 03:00:00,2022-01-05 04:00:00,2022-01-05 05:00:00,2022-01-05 06:00:00,2022-01-05 07:00:00,2022-01-05 08:00:00,2022-01-05 09:00:00,2022-01-05 10:00:00,2022-01-05 11:00:00,2022-01-05 12:00:00,2022-01-05 13:00:00,2022-01-05 14:00:00,2022-01-05 15:00:00,2022-01-05 16:00:00,2022-01-05 17:00:00,2022-01-05 18:00:00,2022-01-05 19:00:00,2022-01-05 20:00:00,2022-01-05 21:00:00,2022-01-05 22:00:00,2022-01-05 23:00:00,2022-01-06 00:00:00,2022-01-06 01:00:00,2022-01-06 02:00:00,2022-01-06 03:00:00,2022-01-06 04:00:00,2022-01-06 05:00:00,2022-01-06 06:00:00,2022-01-06 07:00:00,2022-01-06 08:00:00,2022-01-06 09:00:00,2022-01-06 10:00:00,2022-01-06 11:00:00,2022-01-06 12:00:00,2022-01-06 13:00:00,2022-01-06 14:00:00,2022-01-06 15:00:00,2022-01-06 16:00:00,2022-01-06 17:00:00,2022-01-06 18:00:00,2022-01-06 19:00:00,2022-01-06 20:00:00,2022-01-06 21:00:00,2022-01-06 22:00:00,2022-01-06 23:00:00,2022-01-07 00:00:00,2022-01-07 01:00:00,2022-01-07 02:00:00,2022-01-07 03:00:00,2022-01-07 04:00:00,2022-01-07 05:00:00,2022-01-07 06:00:00,2022-01-07 07:00:00,2022-01-07 08:00:00,2022-01-07 09:00:00,2022-01-07 10:00:00,2022-01-07 11:00:00,2022-01-07 12:00:00,2022-01-07 13:00:00,2022-01-07 14:00:00,2022-01-07 15:00:00,2022-01-07 16:00:00,2022-01-07 17:00:00,2022-01-07 18:00:00,2022-01-07 19:00:00,2022-01-07 20:00:00,2022-01-07 21:00:00,2022-01-07 22:00:00,2022-01-07 23:00:00,2022-01-08 00:00:00,investments,flow_min,flow_max,aggregated_flow,marginal_cost,carrier_cost,capacity_cost,capacity,expandable,capex,opex_fix,lifetime,capacity_total,annuity_total,upfront_investment_costs,opex_fix_costs_total,variable_costs_total
biomass-bus,in,biomass-excess,solar,excess,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,,,1e-07,1e-07,1.6800000000000002e-05,0.0,,,,,,,,,,,,
biomass-bus,out,apv-system,solar,,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,,,1e-07,1e-07,1.6800000000000002e-05,,,270.83,1.0,0.0,2970.8,55.0,30.0,,,,,
electricity-bus,in,electricity-excess,solar,excess,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.47,8.57,20.0,29.21,35.13,37.65,36.44,31.69,23.59,12.75,2.3,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.47,8.58,20.03,29.39,35.41,37.84,36.57,31.85,23.65,12.87,2.36,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.45,8.45,19.8,28.92,34.88,37.02,35.98,30.62,22.96,12.54,2.37,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.43,8.14,19.23,28.47,34.36,35.49,34.38,30.0,20.66,11.25,2.15,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.45,8.64,20.27,29.73,35.94,38.54,37.42,32.58,24.42,13.51,2.69,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.44,8.64,20.42,29.96,36.14,38.67,37.56,32.78,24.62,13.71,2.8,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.44,8.6,20.31,29.85,36.11,38.71,37.61,32.79,24.68,13.82,2.91,1e-07,1e-07,1e-07,1e-07,1e-07,,,1e-07,38.71,1671.1300090999996,0.0,,,,,,,,,,,,
electricity-bus,out,apv-system,solar,,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.47,8.57,20.0,29.21,35.13,37.65,36.44,31.69,23.59,12.75,2.3,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.47,8.58,20.03,29.39,35.41,37.84,36.57,31.85,23.65,12.87,2.36,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.45,8.45,19.8,28.92,34.88,37.02,35.98,30.62,22.96,12.54,2.37,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.43,8.14,19.23,28.47,34.36,35.49,34.38,30.0,20.66,11.25,2.15,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.45,8.64,20.27,29.73,35.94,38.54,37.42,32.58,24.42,13.51,2.69,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.44,8.64,20.42,29.96,36.14,38.67,37.56,32.78,24.62,13.71,2.8,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.44,8.6,20.31,29.85,36.11,38.71,37.61,32.79,24.68,13.82,2.91,1e-07,1e-07,1e-07,1e-07,1e-07,,,1e-07,38.71,1671.1300090999996,,,270.83,1.0,0.0,2970.8,55.0,30.0,,,,,
rain-bus,in,apv-system,solar,,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,,,1e-07,1e-07,1.6800000000000002e-05,,,270.83,1.0,0.0,2970.8,55.0,30.0,,,,,
rain-bus,out,rain,solar,dispatchable,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,,1e-07,1e-07,1e-07,1.6800000000000002e-05,0.0,0.0,0.0,0.0,1.0,,,,1e-07,0.0,,,0.0
solar-energy-bus,in,apv-system,solar,,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7099.38,131820.8,318491.88,479390.14,587825.7,635402.65,614183.53,527409.8,384078.16,202340.27,35512.71,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6957.08,130966.98,317748.75,479880.28,589944.46,637695.25,615606.5,529670.84,384505.07,203700.07,36413.96,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6719.9,128832.43,314317.63,472812.53,582275.8,623275.15,605028.6,506665.04,372583.16,198260.91,36556.29,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6372.05,123930.87,304593.54,465333.68,572535.95,595083.2,575729.86,496087.13,333338.93,177531.98,33204.23,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6672.47,131235.8,320800.35,485303.65,598466.86,647482.67,627512.63,539964.1,396300.48,213582.29,41457.85,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6625.04,131662.7,322381.53,487216.83,600490.7,648526.2,629346.8,543363.6,399747.4,216776.21,43133.89,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6545.97,130793.06,320294.37,484734.44,598008.36,647292.9,627433.6,541023.5,399636.7,218562.96,44794.1,1e-07,1e-07,1e-07,1e-07,1e-07,,,1e-07,648526.2,27444883.130009096,,,270.83,1.0,0.0,2970.8,55.0,30.0,,,,,
solar-energy-bus,out,sun,solar,volatile,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,7099.38,131820.8,318491.88,479390.13999999996,587825.7,635402.65,614183.53,527409.8,384078.16000000003,202340.27,35512.71,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,6957.08,130966.98000000001,317748.75,479880.28,589944.4600000001,637695.25,615606.5,529670.84,384505.07,203700.07,36413.96000000001,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,6719.9,128832.43,314317.63,472812.52999999997,582275.8,623275.15,605028.6,506665.04,372583.16000000003,198260.91,36556.28999999999,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,6372.05,123930.87,304593.54000000004,465333.68,572535.95,595083.2000000001,575729.86,496087.13,333338.93,177531.98,33204.23,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,6672.469999999999,131235.80000000002,320800.35,485303.65,598466.86,647482.67,627512.6299999999,539964.1,396300.48,213582.29,41457.85,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,6625.04,131662.7,322381.52999999997,487216.83,600490.7,648526.2000000001,629346.8,543363.6,399747.4,216776.21,43133.89,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,6545.969999999999,130793.06,320294.37,484734.44,598008.36,647292.9,627433.6,541023.5,399636.7,218562.96,44794.1,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,,,1.0000000000000001e-07,648526.2000000001,27444883.130009096,0.0,,0.0,1000.0,0.0,0.0,0.0,30.0,,,,,0.0
water-bus-in,in,apv-system,solar,,1e-07,63.81,62.91,59.24,54.91,50.54,49.54,48.71,51.57,98.05,187.73,207.99,207.99,207.99,207.99,207.99,200.39,139.97,60.48,33.52,23.31,30.06,22.95,25.69,32.75,40.71,41.1,41.74,39.23,39.11,39.02,38.57,42.44,82.84,176.42,207.99,207.99,207.99,207.99,207.99,202.8,137.18,66.61,31.99,34.65,38.21,34.37,34.71,37.05,42.31,45.37,45.33,41.09,37.15,35.4,35.1,36.31,73.47,173.55,207.99,207.99,207.99,207.99,207.99,199.21,137.71,57.58,28.28,37.44,38.54,37.84,43.17,45.24,43.09,39.16,36.8,34.46,34.75,35.11,36.48,37.12,74.63,167.9,207.99,207.99,207.99,207.99,207.99,178.69,126.34,56.63,25.14,26.09,25.37,27.35,29.16,33.67,39.41,43.68,44.03,45.67,43.24,40.5,40.34,40.26,78.6,177.77,207.99,207.99,207.99,207.99,207.99,191.52,128.69,53.91,17.7,21.42,21.95,15.76,18.19,22.31,27.04,31.43,35.72,38.11,41.61,40.73,40.71,41.63,84.25,179.05,207.99,207.99,207.99,207.99,207.99,206.08,140.16,61.05,32.36,17.91,20.89,21.43,20.6,21.94,22.58,24.67,28.34,28.97,30.06,32.29,32.65,35.01,77.43,178.74,207.99,207.99,207.99,207.99,207.99,203.15,143.62,58.7,40.93,28.78,15.0,18.57,18.16,,,1e-07,207.99,15237.860000100001,,,270.83,1.0,0.0,2970.8,55.0,30.0,,,,,
water-bus-in,out,back-up-water,solar,dispatchable,1e-07,63.81,62.91,59.24,54.91,50.54,49.54,48.71,51.57,98.05,187.73,207.99,207.99,207.99,207.99,207.99,200.39,139.97,60.48,33.52,23.31,30.06,22.95,25.69,32.75,40.71,41.1,41.74,39.23,39.11,39.02,38.57,42.44,82.84,176.42,207.99,207.99,207.99,207.99,207.99,202.8,137.18,66.61,31.99,34.65,38.21,34.37,34.71,37.05,42.31,45.37,45.33,41.09,37.15,35.4,35.1,36.31,73.47,173.55,207.99,207.99,207.99,207.99,207.99,199.21,137.71,57.58,28.28,37.44,38.54,37.84,43.17,45.24,43.09,39.16,36.8,34.46,34.75,35.11,36.48,37.12,74.63,167.9,207.99,207.99,207.99,207.99,207.99,178.69,126.34,56.63,25.14,26.09,25.37,27.35,29.16,33.67,39.41,43.68,44.03,45.67,43.24,40.5,40.34,40.26,78.6,177.77,207.99,207.99,207.99,207.99,207.99,191.52,128.69,53.91,17.7,21.42,21.95,15.76,18.19,22.31,27.04,31.43,35.72,38.11,41.61,40.73,40.71,41.63,84.25,179.05,207.99,207.99,207.99,207.99,207.99,206.08,140.16,61.05,32.36,17.91,20.89,21.43,20.6,21.94,22.58,24.67,28.34,28.97,30.06,32.29,32.65,35.01,77.43,178.74,207.99,207.99,207.99,207.99,207.99,203.15,143.62,58.7,40.93,28.78,15.0,18.57,18.16,,207.99,1e-07,207.99,15237.860000100001,0.0,0.0,0.0,0.0,1.0,,,,207.99,0.0,,,0.0
