source,apv-system,apv-system,apv-system,back-up-water,biomass-bus,electricity-bus,rain,rain-bus,solar-energy-bus,sun,water-bus-in,water-bus-out
target,biomass-bus,electricity-bus,water-bus-out,water-bus-in,biomass-excess,electricity-excess,rain-bus,apv-system,apv-system,solar-energy-bus,apv-system,water-excess
var_name,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,1e-07,1e-07
2022-01-01 01:00:00,1e-07,1e-07,1e-07,63.81,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,63.81,1e-07
2022-01-01 02:00:00,1e-07,1e-07,1e-07,62.91,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,62.91,1e-07
2022-01-01 03:00:00,1e-07,1e-07,1e-07,59.24,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,59.24,1e-07
2022-01-01 04:00:00,1e-07,1e-07,1e-07,54.91,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,54.91,1e-07
2022-01-01 05:00:00,1e-07,1e-07,1e-07,50.54,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,50.54,1e-07
2022-01-01 06:00:00,1e-07,1e-07,1e-07,49.54,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,49.54,1e-07
2022-01-01 07:00:00,1e-07,1e-07,1e-07,48.71,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,48.71,1e-07
2022-01-01 08:00:00,1e-07,0.47,1e-07,51.57,1e-07,0.47,1e-07,1e-07,7099.38,7099.38,51.57,1e-07
2022-01-01 09:00:00,1e-07,8.57,1e-07,98.05,1e-07,8.57,1e-07,1e-07,131820.8,131820.8,98.05,1e-07
2022-01-01 10:00:00,1e-07,20.0,1e-07,187.73,1e-07,20.0,1e-07,1e-07,318491.88,318491.88,187.73,1e-07
2022-01-01 11:00:00,1e-07,29.21,1e-07,207.99,1e-07,29.21,1e-07,1e-07,479390.14,479390.13999999996,207.99,1e-07
2022-01-01 12:00:00,1e-07,35.13,1e-07,207.99,1e-07,35.13,1e-07,1e-07,587825.7,587825.7,207.99,1e-07
2022-01-01 13:00:00,1e-07,37.65,1e-07,207.99,1e-07,37.65,1e-07,1e-07,635402.65,635402.65,207.99,1e-07
2022-01-01 14:00:00,1e-07,36.44,1e-07,207.99,1e-07,36.44,1e-07,1e-07,614183.53,614183.53,207.99,1e-07
2022-01-01 15:00:00,1e-07,31.69,1e-07,207.99,1e-07,31.69,1e-07,1e-07,527409.8,527409.8,207.99,1e-07
2022-01-01 16:00:00,1e-07,23.59,1e-07,200.39,1e-07,23.59,1e-07,1e-07,384078.16,384078.16000000003,200.39,1e-07
2022-01-01 17:00:00,1e-07,12.75,1e-07,139.97,1e-07,12.75,1e-07,1e-07,202340.27,202340.27,139.97,1e-07
2022-01-01 18:00:00,1e-07,2.3,1e-07,60.48,1e-07,2.3,1e-07,1e-07,35512.71,35512.71,60.48,1e-07
2022-01-01 19:00:00,1e-07,1e-07,1e-07,33.52,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,33.52,1e-07
2022-01-01 20:00:00,1e-07,1e-07,1e-07,23.31,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,23.31,1e-07
2022-01-01 21:00:00,1e-07,1e-07,1e-07,30.06,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,30.06,1e-07
2022-01-01 22:00:00,1e-07,1e-07,1e-07,22.95,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,22.95,1e-07
2022-01-01 23:00:00,1e-07,1e-07,1e-07,25.69,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,25.69,1e-07
2022-01-02 00:00:00,1e-07,1e-07,1e-07,32.75,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,32.75,1e-07
2022-01-02 01:00:00,1e-07,1e-07,1e-07,40.71,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,40.71,1e-07
2022-01-02 02:00:00,1e-07,1e-07,1e-07,41.1,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,41.1,1e-07
2022-01-02 03:00:00,1e-07,1e-07,1e-07,41.74,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,41.74,1e-07
2022-01-02 04:00:00,1e-07,1e-07,1e-07,39.23,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,39.23,1e-07
2022-01-02 05:00:00,1e-07,1e-07,1e-07,39.11,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,39.11,1e-07
2022-01-02 06:00:00,1e-07,1e-07,1e-07,39.02,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,39.02,1e-07
2022-01-02 07:00:00,1e-07,1e-07,1e-07,38.57,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,38.57,1e-07
2022-01-02 08:00:00,1e-07,0.47,1e-07,42.44,1e-07,0.47,1e-07,1e-07,6957.08,6957.08,42.44,1e-07
2022-01-02 09:00:00,1e-07,8.58,1e-07,82.84,1e-07,8.58,1e-07,1e-07,130966.98,130966.98000000001,82.84,1e-07
2022-01-02 10:00:00,1e-07,20.03,1e-07,176.42,1e-07,20.03,1e-07,1e-07,317748.75,317748.75,176.42,1e-07
2022-01-02 11:00:00,1e-07,29.39,1e-07,207.99,1e-07,29.39,1e-07,1e-07,479880.28,479880.28,207.99,1e-07
2022-01-02 12:00:00,1e-07,35.41,1e-07,207.99,1e-07,35.41,1e-07,1e-07,589944.46,589944.4600000001,207.99,1e-07
2022-01-02 13:00:00,1e-07,37.84,1e-07,207.99,1e-07,37.84,1e-07,1e-07,637695.25,637695.25,207.99,1e-07
2022-01-02 14:00:00,1e-07,36.57,1e-07,207.99,1e-07,36.57,1e-07,1e-07,615606.5,615606.5,207.99,1e-07
2022-01-02 15:00:00,1e-07,31.85,1e-07,207.99,1e-07,31.85,1e-07,1e-07,529670.84,529670.84,207.99,1e-07
2022-01-02 16:00:00,1e-07,23.65,1e-07,202.8,1e-07,23.65,1e-07,1e-07,384505.07,384505.07,202.8,1e-07
2022-01-02 17:00:00,1e-07,12.87,1e-07,137.18,1e-07,12.87,1e-07,1e-07,203700.07,203700.07,137.18,1e-07
2022-01-02 18:00:00,1e-07,2.36,1e-07,66.61,1e-07,2.36,1e-07,1e-07,36413.96,36413.96000000001,66.61,1e-07
2022-01-02 19:00:00,1e-07,1e-07,1e-07,31.99,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,31.99,1e-07
2022-01-02 20:00:00,1e-07,1e-07,1e-07,34.65,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,34.65,1e-07
2022-01-02 21:00:00,1e-07,1e-07,1e-07,38.21,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,38.21,1e-07
2022-01-02 22:00:00,1e-07,1e-07,1e-07,34.37,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,34.37,1e-07
2022-01-02 23:00:00,1e-07,1e-07,1e-07,34.71,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,34.71,1e-07
2022-01-03 00:00:00,1e-07,1e-07,1e-07,37.05,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,37.05,1e-07
2022-01-03 01:00:00,1e-07,1e-07,1e-07,42.31,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,42.31,1e-07
2022-01-03 02:00:00,1e-07,1e-07,1e-07,45.37,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,45.37,1e-07
2022-01-03 03:00:00,1e-07,1e-07,1e-07,45.33,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,45.33,1e-07
2022-01-03 04:00:00,1e-07,1e-07,1e-07,41.09,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,41.09,1e-07
2022-01-03 05:00:00,1e-07,1e-07,1e-07,37.15,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,37.15,1e-07
2022-01-03 06:00:00,1e-07,1e-07,1e-07,35.4,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,35.4,1e-07
2022-01-03 07:00:00,1e-07,1e-07,1e-07,35.1,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,35.1,1e-07
2022-01-03 08:00:00,1e-07,0.45,1e-07,36.31,1e-07,0.45,1e-07,1e-07,6719.9,6719.9,36.31,1e-07
2022-01-03 09:00:00,1e-07,8.45,1e-07,73.47,1e-07,8.45,1e-07,1e-07,128832.43,128832.43,73.47,1e-07
2022-01-03 10:00:00,1e-07,19.8,1e-07,173.55,1e-07,19.8,1e-07,1e-07,314317.63,314317.63,173.55,1e-07
2022-01-03 11:00:00,1e-07,28.92,1e-07,207.99,1e-07,28.92,1e-07,1e-07,472812.53,472812.52999999997,207.99,1e-07
2022-01-03 12:00:00,1e-07,34.88,1e-07,207.99,1e-07,34.88,1e-07,1e-07,582275.8,582275.8,207.99,1e-07
2022-01-03 13:00:00,1e-07,37.02,1e-07,207.99,1e-07,37.02,1e-07,1e-07,623275.15,623275.15,207.99,1e-07
2022-01-03 14:00:00,1e-07,35.98,1e-07,207.99,1e-07,35.98,1e-07,1e-07,605028.6,605028.6,207.99,1e-07
2022-01-03 15:00:00,1e-07,30.62,1e-07,207.99,1e-07,30.62,1e-07,1e-07,506665.04,506665.04,207.99,1e-07
2022-01-03 16:00:00,1e-07,22.96,1e-07,199.21,1e-07,22.96,1e-07,1e-07,372583.16,372583.16000000003,199.21,1e-07
2022-01-03 17:00:00,1e-07,12.54,1e-07,137.71,1e-07,12.54,1e-07,1e-07,198260.91,198260.91,137.71,1e-07
2022-01-03 18:00:00,1e-07,2.37,1e-07,57.58,1e-07,2.37,1e-07,1e-07,36556.29,36556.28999999999,57.58,1e-07
2022-01-03 19:00:00,1e-07,1e-07,1e-07,28.28,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,28.28,1e-07
2022-01-03 20:00:00,1e-07,1e-07,1e-07,37.44,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,37.44,1e-07
2022-01-03 21:00:00,1e-07,1e-07,1e-07,38.54,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,38.54,1e-07
2022-01-03 22:00:00,1e-07,1e-07,1e-07,37.84,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,37.84,1e-07
2022-01-03 23:00:00,1e-07,1e-07,1e-07,43.17,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,43.17,1e-07
2022-01-04 00:00:00,1e-07,1e-07,1e-07,45.24,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,45.24,1e-07
2022-01-04 01:00:00,1e-07,1e-07,1e-07,43.09,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,43.09,1e-07
2022-01-04 02:00:00,1e-07,1e-07,1e-07,39.16,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,39.16,1e-07
2022-01-04 03:00:00,1e-07,1e-07,1e-07,36.8,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,36.8,1e-07
2022-01-04 04:00:00,1e-07,1e-07,1e-07,34.46,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,34.46,1e-07
2022-01-04 05:00:00,1e-07,1e-07,1e-07,34.75,1e-07,1e-07,1e-07,1e-07,1e-07,1.0000000000000001e-07,34.75,1e-07
