kpi,value
annuity_total,1.3955669299462385e-10
variable_costs_total,1.0325069149093032e-07
system_cost_total,1.0339024818392495e-07
total_upfront_investments,603286.3315399999
land_requirement_additional,5648.391320000001
land_requirement_total,5648.391320000001
total_water_footprint,14520.676590419866
