source,ac-elec-bus,ac-elec-bus,ac-elec-bus,ac-elec-bus,backup-electricity-grid,battery-storage,battery-storage,brine-bus,dc-elec-bus,inverter,mimo,mimo,permeate-bus,permeate-bus,pv,seawater-bus,seawater-source,water-storage,water-storage
target,battery-storage,elec-demand,electricity-excess,mimo,ac-elec-bus,nan,ac-elec-bus,brine-excess,inverter,ac-elec-bus,brine-bus,permeate-bus,permeate-demand,water-storage,dc-elec-bus,mimo,seawater-bus,nan,permeate-bus
var_name,flow,flow,flow,flow,flow,storage_content,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,storage_content,flow
2021-01-01 00:00:00,0.0,20.0,0.0,100.33613,120.33613,0.0,0.0,30.100838,0.0,0.0,30.100838,20.067225,10.0,10.067225,0.0,80.268901,80.268901,9.9665529,0.0
2021-01-01 01:00:00,0.0,40.0,0.0,100.33613,140.33613,0.0,0.0,30.100838,0.0,0.0,30.100838,20.067225,20.0,0.067225187,0.0,80.268901,80.268901,10.033106,0.0
2021-01-01 02:00:00,0.0,60.0,0.0,100.33613,160.33613,0.0,0.0,30.100838,0.0,0.0,30.100838,20.067225,30.0,0.0,0.0,80.268901,80.268901,0.0,9.9327748
2021-01-01 03:00:00,,,,,,,,,,,,,,,,,,,
