flow,value
diesel-generator_to_ac-elec,177112.81613354804
inverter_to_ac-elec,174753.95911201095
run-of-river-hydropower_to_ac-elec,80344.58597008631
bottled-water_to_drinking-water,0.0
drinking-water-storage_to_drinking-water,7304.578589325863
seawater-reverse-osmosis_to_drinking-water,3.0919892228859997e-10
water-filtration-system_to_drinking-water,10795.320122434641
rainwater-harvesting_to_service-water,0.0
river-water-uptake_to_service-water,13383.8
service-water-storage_to_service-water,1494.208794917571
water pump_to_service-water,26555.061103702003
